current_situation,Reuslt_name,Next_situation_1,Next_situation_2,Next_situation_3,situation_1,situation_2,situation_3,percent_1,percent_2,percent_3
4,single,7,4,5.0,55,40,13.0,0.5092592592592593,0.37037037037037035,0.12037037037037036
12,single,15,12,13.0,145,83,52.0,0.5178571428571429,0.29642857142857143,0.18571428571428572
20,single,23,20,21.0,81,103,97.0,0.28825622775800713,0.3665480427046263,0.34519572953736655
7,single,7,4,5.0,13,16,3.0,0.40625,0.5,0.09375
15,single,15,12,13.0,55,37,14.0,0.5188679245283019,0.3490566037735849,0.1320754716981132
23,single,23,20,21.0,38,35,42.0,0.33043478260869563,0.30434782608695654,0.3652173913043478
1,single,4,5,,388,135,,0.7418738049713193,0.25812619502868067,
9,single,12,13,,518,172,,0.7507246376811594,0.2492753623188406,
17,single,20,21,,426,214,,0.665625,0.334375,
5,single,4,5,,43,17,,0.7166666666666667,0.2833333333333333,
13,single,12,13,,86,25,,0.7747747747747747,0.22522522522522523,
21,single,20,21,,108,39,,0.7346938775510204,0.2653061224489796,
1,double,6,2,,81,43,,0.6532258064516129,0.3467741935483871,
9,double,14,10,,107,60,,0.6407185628742516,0.3592814371257485,
17,double,22,18,,72,58,,0.5538461538461539,0.4461538461538462,
4,double,6,2,,14,7,,0.6666666666666666,0.3333333333333333,
12,double,14,10,,36,18,,0.6666666666666666,0.3333333333333333,
20,double,22,18,,33,50,,0.39759036144578314,0.6024096385542169,
5,double,6,2,,12,5,,0.7058823529411765,0.29411764705882354,
13,double,14,10,,19,10,,0.6551724137931034,0.3448275862068966,
21,double,22,18,,19,18,,0.5135135135135135,0.4864864864864865,
2,single,5,1,,78,51,,0.6046511627906976,0.3953488372093023,
10,single,13,9,,176,130,,0.5751633986928104,0.42483660130718953,
18,single,21,17,,92,161,,0.36363636363636365,0.6363636363636364,
6,single,5,1,,15,14,,0.5172413793103449,0.4827586206896552,
14,single,13,9,,37,48,,0.43529411764705883,0.5647058823529412,
22,single,21,17,,17,41,,0.29310344827586204,0.7068965517241379,
