current_situation,Reuslt_name,Next_situation_1,Next_situation_2,Next_situation_3,situation_1,situation_2,situation_3,percent_1,percent_2,percent_3
4,single,7,4,5.0,60,37,15.0,0.5357142857142857,0.33035714285714285,0.13392857142857142
12,single,15,12,13.0,121,72,42.0,0.5148936170212766,0.30638297872340425,0.17872340425531916
20,single,23,20,21.0,92,105,86.0,0.3250883392226148,0.3710247349823322,0.303886925795053
7,single,7,4,5.0,18,7,2.0,0.6666666666666666,0.25925925925925924,0.07407407407407407
15,single,15,12,13.0,60,34,6.0,0.6,0.34,0.06
23,single,23,20,21.0,25,54,29.0,0.23148148148148148,0.5,0.26851851851851855
1,single,4,5,,399,103,,0.7948207171314741,0.2051792828685259,
9,single,12,13,,513,188,,0.7318116975748931,0.268188302425107,
17,single,20,21,,419,207,,0.6693290734824281,0.3306709265175719,
5,single,4,5,,25,10,,0.7142857142857143,0.2857142857142857,
13,single,12,13,,86,25,,0.7747747747747747,0.22522522522522523,
21,single,20,21,,91,50,,0.6453900709219859,0.3546099290780142,
1,double,6,2,,77,26,,0.7475728155339806,0.2524271844660194,
9,double,14,10,,96,40,,0.7058823529411765,0.29411764705882354,
17,double,22,18,,80,62,,0.5633802816901409,0.43661971830985913,
4,double,6,2,,13,11,,0.5416666666666666,0.4583333333333333,
12,double,14,10,,49,27,,0.6447368421052632,0.35526315789473684,
20,double,22,18,,43,57,,0.43,0.57,
5,double,6,2,,4,4,,0.5,0.5,
13,double,14,10,,15,7,,0.6818181818181818,0.3181818181818182,
21,double,22,18,,22,12,,0.6470588235294118,0.35294117647058826,
2,single,5,1,,75,40,,0.6521739130434783,0.34782608695652173,
10,single,13,9,,154,102,,0.6015625,0.3984375,
18,single,21,17,,89,172,,0.34099616858237547,0.6590038314176245,
6,single,5,1,,13,10,,0.5652173913043478,0.43478260869565216,
14,single,13,9,,41,49,,0.45555555555555555,0.5444444444444444,
22,single,21,17,,31,44,,0.41333333333333333,0.5866666666666667,
