INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.276,33.0,6.0,150.0,108.0,31.0,5.0,0.36,0.384,0.744,95.0,18.0,0.189,275.0,74.0,0.269,3.0,144.0,629.0,544.0,85.0,70.0,3.0,31.0,19.0,0.613,11.0,10.0,0.909,2.0,0.0,0.0,.---,5.0,8.0,117.0
NO2,0.262,67.0,13.0,143.0,96.0,30.0,4.0,0.317,0.404,0.721,119.0,34.0,0.286,268.0,74.0,0.276,5.0,144.0,646.0,545.0,75.0,44.0,2.0,34.0,24.0,0.706,51.0,50.0,0.98,5.0,0.0,0.0,.---,3.0,16.0,118.0
NO3,0.267,75.0,19.0,142.0,98.0,24.0,1.0,0.353,0.423,0.776,156.0,38.0,0.244,257.0,75.0,0.292,7.0,144.0,618.0,532.0,66.0,71.0,3.0,26.0,20.0,0.769,7.0,6.0,0.857,6.0,0.0,0.0,.---,13.0,4.0,111.0
NO4,0.261,81.0,23.0,132.0,86.0,23.0,0.0,0.356,0.444,0.799,155.0,41.0,0.265,231.0,55.0,0.238,10.0,144.0,591.0,505.0,63.0,69.0,9.0,5.0,4.0,0.8,2.0,1.0,0.5,7.0,0.0,0.0,.---,14.0,13.0,135.0
NO5,0.275,63.0,18.0,142.0,99.0,23.0,2.0,0.317,0.432,0.749,134.0,29.0,0.216,238.0,59.0,0.248,10.0,144.0,568.0,516.0,62.0,30.0,4.0,10.0,8.0,0.8,13.0,13.0,1.0,5.0,0.0,0.0,.---,8.0,10.0,97.0
NO6,0.241,53.0,7.0,114.0,79.0,27.0,1.0,0.311,0.346,0.657,123.0,33.0,0.268,198.0,47.0,0.237,2.0,144.0,543.0,474.0,50.0,45.0,6.0,14.0,10.0,0.714,15.0,13.0,0.867,5.0,0.0,0.0,.---,12.0,10.0,83.0
NO7,0.248,47.0,7.0,119.0,96.0,16.0,0.0,0.326,0.325,0.651,129.0,39.0,0.302,187.0,54.0,0.289,3.0,144.0,545.0,480.0,49.0,50.0,6.0,17.0,11.0,0.647,9.0,8.0,0.889,1.0,0.0,0.0,.---,10.0,18.0,102.0
NO8,0.239,46.0,8.0,100.0,81.0,10.0,1.0,0.327,0.325,0.652,98.0,25.0,0.255,163.0,35.0,0.215,2.0,144.0,496.0,418.0,36.0,46.0,10.0,1.0,1.0,1.0,20.0,19.0,0.95,3.0,0.0,0.0,.---,15.0,8.0,103.0
NO9,0.124,20.0,2.0,34.0,28.0,3.0,1.0,0.154,0.164,0.319,75.0,13.0,0.173,110.0,10.0,0.091,0.0,144.0,313.0,274.0,15.0,10.0,0.0,3.0,1.0,0.333,39.0,28.0,0.718,1.0,0.0,0.0,.---,4.0,10.0,111.0
