INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.297,79.0,21.0,173.0,108.0,40.0,4.0,0.371,0.488,0.859,128.0,38.0,0.297,285.0,75.0,0.263,7.0,143.0,663.0,582.0,98.0,68.0,4.0,28.0,19.0,0.679,2.0,2.0,1.000,7.0,0.0,0.0,.---,6.0,5.0,103.0
NO2,0.266,53.0,3.0,154.0,122.0,19.0,10.0,0.319,0.349,0.668,156.0,51.0,0.327,269.0,73.0,0.271,0.0,143.0,650.0,578.0,86.0,41.0,5.0,45.0,36.0,0.8,25.0,23.0,.920,3.0,0.0,0.0,.---,5.0,21.0,103.0
NO3,0.322,112.0,21.0,183.0,128.0,32.0,2.0,0.382,0.496,0.879,183.0,61.0,0.333,258.0,89.0,0.345,7.0,143.0,637.0,568.0,89.0,52.0,8.0,12.0,10.0,0.833,1.0,1.0,1.000,8.0,0.0,0.0,.---,17.0,10.0,86.0
NO4,0.243,93.0,31.0,132.0,68.0,33.0,0.0,0.326,0.474,0.8,163.0,38.0,0.233,232.0,63.0,0.272,16.0,143.0,617.0,544.0,74.0,61.0,8.0,1.0,0.0,0.0,0.0,0.0,.---,4.0,0.0,0.0,.---,16.0,10.0,148.0
NO5,0.255,70.0,18.0,126.0,85.0,21.0,2.0,0.344,0.414,0.759,119.0,35.0,0.294,190.0,52.0,0.274,7.0,143.0,572.0,495.0,62.0,64.0,6.0,3.0,2.0,0.667,3.0,3.0,1.000,4.0,0.0,0.0,.---,11.0,10.0,121.0
NO6,0.242,72.0,26.0,113.0,64.0,23.0,0.0,0.326,0.458,0.784,108.0,22.0,0.204,175.0,40.0,0.229,8.0,143.0,538.0,467.0,52.0,58.0,3.0,3.0,2.0,0.667,5.0,4.0,.800,6.0,0.0,0.0,.---,14.0,7.0,116.0
NO7,0.233,57.0,13.0,114.0,74.0,22.0,5.0,0.299,0.378,0.677,108.0,27.0,0.25,185.0,41.0,0.222,4.0,143.0,549.0,489.0,64.0,41.0,6.0,22.0,20.0,0.909,10.0,10.0,1.000,3.0,0.0,0.0,.---,7.0,4.0,135.0
NO8,0.239,45.0,7.0,103.0,81.0,14.0,1.0,0.3,0.325,0.625,109.0,29.0,0.266,152.0,37.0,0.243,2.0,143.0,503.0,431.0,58.0,31.0,9.0,9.0,8.0,0.889,28.0,26.0,.929,6.0,0.0,0.0,.---,9.0,5.0,87.0
NO9,0.267,48.0,7.0,115.0,82.0,22.0,4.0,0.314,0.385,0.699,108.0,32.0,0.296,149.0,38.0,0.255,3.0,143.0,484.0,431.0,60.0,25.0,6.0,29.0,21.0,0.724,22.0,19.0,.864,3.0,0.0,0.0,.---,7.0,6.0,85.0
