INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.269,45.0,5.0,155.0,121.0,26.0,3.0,0.362,0.35,0.712,121.0,32.0,0.264,284.0,78.0,0.275,2.0,143.0,673.0,577.0,87.0,77.0,11.0,49.0,36.0,0.735,3.0,2.0,.667,6.0,0.0,0.0,.---,3.0,2.0,110.0
NO2,0.272,56.0,9.0,147.0,113.0,23.0,2.0,0.356,0.372,0.728,130.0,36.0,0.277,275.0,73.0,0.265,2.0,143.0,629.0,541.0,75.0,65.0,8.0,20.0,16.0,0.8,12.0,11.0,.917,4.0,0.0,0.0,.---,7.0,10.0,89.0
NO3,0.259,87.0,23.0,148.0,86.0,38.0,1.0,0.327,0.45,0.777,163.0,38.0,0.233,300.0,72.0,0.24,8.0,143.0,639.0,571.0,73.0,58.0,3.0,3.0,2.0,0.667,1.0,0.0,.000,7.0,0.0,0.0,.---,16.0,7.0,152.0
NO4,0.248,92.0,30.0,134.0,78.0,25.0,1.0,0.332,0.465,0.797,172.0,44.0,0.256,265.0,64.0,0.242,14.0,143.0,612.0,540.0,69.0,63.0,6.0,3.0,2.0,0.667,0.0,0.0,.---,3.0,0.0,0.0,.---,14.0,6.0,166.0
NO5,0.294,90.0,32.0,160.0,102.0,25.0,1.0,0.356,0.519,0.875,133.0,39.0,0.293,251.0,81.0,0.323,13.0,143.0,604.0,545.0,81.0,51.0,4.0,13.0,7.0,0.538,1.0,0.0,.000,4.0,0.0,0.0,.---,15.0,10.0,116.0
NO6,0.287,53.0,11.0,150.0,111.0,27.0,1.0,0.349,0.405,0.754,112.0,28.0,0.25,221.0,59.0,0.267,4.0,143.0,584.0,523.0,58.0,50.0,2.0,2.0,2.0,1.0,9.0,5.0,.556,4.0,0.0,0.0,.---,7.0,5.0,114.0
NO7,0.279,43.0,4.0,134.0,107.0,21.0,2.0,0.343,0.356,0.698,110.0,29.0,0.264,196.0,60.0,0.306,0.0,143.0,545.0,481.0,53.0,44.0,4.0,11.0,10.0,0.909,19.0,14.0,.737,2.0,0.0,0.0,.---,14.0,16.0,91.0
NO8,0.254,58.0,10.0,106.0,80.0,13.0,3.0,0.308,0.371,0.678,118.0,35.0,0.297,180.0,44.0,0.244,3.0,143.0,468.0,418.0,47.0,29.0,4.0,5.0,3.0,0.6,21.0,16.0,.762,1.0,0.0,0.0,.---,10.0,9.0,86.0
NO9,0.217,30.0,3.0,88.0,69.0,13.0,3.0,0.273,0.286,0.558,106.0,24.0,0.226,172.0,32.0,0.186,0.0,143.0,462.0,406.0,36.0,28.0,4.0,22.0,14.0,0.636,26.0,22.0,.846,2.0,0.0,0.0,.---,6.0,15.0,79.0
