INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.316,91.0,29.0,193.0,123.0,39.0,2.0,0.388,0.53,0.918,135.0,44.0,0.326,279.0,77.0,0.276,11.0,144.0,689.0,610.0,100.0,65.0,9.0,22.0,17.0,.773,1.0,1.0,1.0,4.0,0.0,0.0,.---,10.0,11.0,95.0
NO2,0.235,42.0,3.0,128.0,103.0,20.0,2.0,0.28,0.295,0.575,121.0,24.0,0.198,239.0,60.0,0.251,2.0,144.0,622.0,545.0,67.0,31.0,5.0,21.0,15.0,.714,36.0,36.0,1.0,5.0,0.0,0.0,.---,7.0,19.0,88.0
NO3,0.3,76.0,14.0,173.0,126.0,32.0,1.0,0.361,0.432,0.793,145.0,39.0,0.269,254.0,79.0,0.311,4.0,144.0,645.0,576.0,77.0,55.0,3.0,3.0,1.0,.333,6.0,5.0,0.833,6.0,0.0,0.0,.---,13.0,16.0,73.0
NO4,0.315,90.0,37.0,163.0,105.0,19.0,2.0,0.412,0.573,0.986,135.0,30.0,0.222,209.0,64.0,0.306,13.0,144.0,610.0,518.0,93.0,84.0,4.0,2.0,2.0,1.000,1.0,1.0,1.0,3.0,0.0,0.0,.---,17.0,10.0,110.0
NO5,0.313,85.0,19.0,176.0,126.0,30.0,1.0,0.365,0.471,0.835,145.0,46.0,0.317,223.0,69.0,0.309,6.0,144.0,611.0,563.0,90.0,45.0,1.0,12.0,10.0,.833,3.0,2.0,0.667,0.0,0.0,0.0,.---,8.0,7.0,100.0
NO6,0.291,82.0,13.0,153.0,115.0,23.0,2.0,0.342,0.417,0.759,143.0,49.0,0.343,205.0,55.0,0.268,4.0,144.0,572.0,525.0,54.0,42.0,0.0,3.0,3.0,1.000,2.0,2.0,1.0,3.0,0.0,0.0,.---,24.0,4.0,74.0
NO7,0.256,61.0,8.0,128.0,100.0,17.0,3.0,0.314,0.35,0.664,120.0,36.0,0.3,180.0,50.0,0.278,5.0,144.0,552.0,500.0,54.0,38.0,5.0,4.0,2.0,.500,8.0,7.0,0.875,2.0,0.0,0.0,.---,10.0,9.0,77.0
NO8,0.285,60.0,9.0,138.0,104.0,24.0,1.0,0.346,0.394,0.74,113.0,34.0,0.301,164.0,48.0,0.293,1.0,144.0,546.0,485.0,55.0,43.0,6.0,1.0,0.0,.000,7.0,6.0,0.857,6.0,0.0,0.0,.---,10.0,8.0,82.0
NO9,0.144,11.0,0.0,38.0,34.0,4.0,0.0,0.159,0.16,0.319,71.0,9.0,0.127,87.0,15.0,0.172,0.0,144.0,321.0,263.0,9.0,5.0,0.0,0.0,0.0,.---,62.0,51.0,0.823,2.0,0.0,0.0,.---,4.0,6.0,104.0
