INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.299,64.0,10.0,178.0,131.0,32.0,5.0,0.378,0.419,0.798,145.0,46.0,0.317,300.0,97.0,0.323,2.0,144.0,681.0,596.0,104.0,71.0,7.0,17.0,8.0,0.471,4.0,4.0,1.000,3.0,0.0,0.0,.---,12.0,9.0,97.0
NO2,0.264,37.0,5.0,138.0,112.0,15.0,6.0,0.324,0.344,0.668,113.0,25.0,0.221,237.0,64.0,0.27,3.0,144.0,644.0,523.0,60.0,42.0,6.0,22.0,14.0,0.636,77.0,70.0,.909,3.0,0.0,0.0,.---,4.0,12.0,97.0
NO3,0.318,89.0,18.0,183.0,130.0,34.0,1.0,0.376,0.474,0.85,179.0,58.0,0.324,276.0,91.0,0.33,9.0,144.0,638.0,576.0,78.0,44.0,13.0,1.0,1.0,1.0,0.0,0.0,.---,5.0,0.0,0.0,.---,18.0,0.0,66.0
NO4,0.257,93.0,22.0,148.0,94.0,27.0,5.0,0.312,0.437,0.748,180.0,51.0,0.283,248.0,63.0,0.254,9.0,144.0,632.0,575.0,79.0,43.0,6.0,14.0,9.0,0.643,0.0,0.0,.---,8.0,0.0,0.0,.---,21.0,9.0,145.0
NO5,0.329,94.0,25.0,185.0,129.0,27.0,4.0,0.38,0.525,0.905,148.0,57.0,0.385,233.0,79.0,0.339,9.0,144.0,615.0,562.0,91.0,44.0,5.0,16.0,12.0,0.75,0.0,0.0,.---,4.0,0.0,0.0,.---,8.0,5.0,111.0
NO6,0.285,77.0,20.0,147.0,106.0,19.0,2.0,0.36,0.447,0.806,128.0,35.0,0.273,201.0,54.0,0.269,6.0,144.0,583.0,515.0,71.0,51.0,10.0,17.0,13.0,0.765,8.0,5.0,.625,2.0,0.0,0.0,.---,9.0,3.0,137.0
NO7,0.243,59.0,12.0,117.0,84.0,18.0,3.0,0.306,0.368,0.674,131.0,35.0,0.267,213.0,52.0,0.244,6.0,144.0,531.0,481.0,44.0,38.0,6.0,7.0,5.0,0.714,6.0,5.0,.833,1.0,0.0,0.0,.---,4.0,4.0,135.0
NO8,0.249,48.0,6.0,111.0,81.0,19.0,5.0,0.314,0.354,0.669,110.0,31.0,0.282,181.0,49.0,0.271,3.0,144.0,516.0,446.0,59.0,39.0,5.0,16.0,14.0,0.875,26.0,23.0,.885,3.0,0.0,0.0,.---,5.0,11.0,87.0
NO9,0.21,42.0,5.0,70.0,48.0,17.0,0.0,0.271,0.305,0.577,105.0,27.0,0.257,123.0,23.0,0.187,2.0,144.0,389.0,334.0,29.0,20.0,9.0,6.0,4.0,0.667,29.0,24.0,.828,2.0,0.0,0.0,.---,3.0,12.0,85.0
