INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.272,42.0,3.0,150.0,121.0,25.0,1.0,0.334,0.337,0.671,121.0,33.0,0.273,299.0,80.0,0.268,1.0,143.0,612.0,552.0,73.0,50.0,3.0,29.0,23.0,0.793,7.0,5.0,.714,2.0,0.0,0.0,.---,7.0,8.0,92.0
NO2,0.27,56.0,12.0,143.0,108.0,20.0,3.0,0.342,0.388,0.73,130.0,40.0,0.308,251.0,68.0,0.271,5.0,143.0,635.0,529.0,69.0,54.0,6.0,32.0,17.0,0.531,50.0,42.0,.840,4.0,0.0,0.0,.---,5.0,9.0,75.0
NO3,0.282,84.0,19.0,149.0,102.0,28.0,0.0,0.38,0.442,0.822,153.0,43.0,0.281,270.0,79.0,0.293,8.0,143.0,616.0,529.0,69.0,74.0,11.0,14.0,10.0,0.714,0.0,0.0,.---,2.0,0.0,0.0,.---,14.0,2.0,88.0
NO4,0.268,73.0,20.0,143.0,99.0,24.0,0.0,0.345,0.425,0.77,136.0,37.0,0.272,252.0,75.0,0.298,10.0,143.0,603.0,534.0,54.0,56.0,9.0,2.0,1.0,0.5,0.0,0.0,.---,4.0,0.0,0.0,.---,11.0,13.0,121.0
NO5,0.216,56.0,11.0,110.0,78.0,19.0,2.0,0.282,0.325,0.608,140.0,31.0,0.221,233.0,49.0,0.21,5.0,143.0,565.0,510.0,44.0,42.0,7.0,5.0,5.0,1.0,2.0,2.0,1.000,4.0,0.0,0.0,.---,18.0,7.0,111.0
NO6,0.221,35.0,8.0,104.0,80.0,14.0,2.0,0.291,0.31,0.601,104.0,23.0,0.221,199.0,39.0,0.196,2.0,143.0,527.0,471.0,48.0,40.0,8.0,13.0,8.0,0.615,8.0,5.0,.625,3.0,0.0,0.0,.---,8.0,7.0,101.0
NO7,0.223,48.0,13.0,103.0,77.0,10.0,3.0,0.296,0.343,0.638,104.0,20.0,0.192,185.0,42.0,0.227,4.0,143.0,522.0,461.0,47.0,44.0,5.0,5.0,2.0,0.4,12.0,8.0,.667,4.0,0.0,0.0,.---,6.0,5.0,89.0
NO8,0.245,35.0,2.0,105.0,83.0,17.0,3.0,0.314,0.313,0.627,100.0,24.0,0.24,164.0,42.0,0.256,0.0,143.0,495.0,428.0,41.0,38.0,6.0,16.0,9.0,0.563,23.0,21.0,.913,2.0,0.0,0.0,.---,8.0,5.0,81.0
NO9,0.238,36.0,4.0,88.0,72.0,11.0,1.0,0.301,0.306,0.607,102.0,21.0,0.206,148.0,31.0,0.209,2.0,143.0,432.0,369.0,32.0,26.0,8.0,9.0,6.0,0.667,33.0,27.0,.818,2.0,0.0,0.0,.---,3.0,4.0,82.0
