INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.258,53.0,13.0,149.0,106.0,22.0,8.0,0.333,0.392,0.724,116.0,34.0,0.293,275.0,63.0,0.229,4.0,144.0,648.0,577.0,82.0,56.0,9.0,28.0,21.0,0.75,5.0,5.0,1.0,1.0,0.0,0.0,.---,12.0,8.0,111.0
NO2,0.238,34.0,5.0,121.0,97.0,17.0,2.0,0.291,0.308,0.6,116.0,25.0,0.216,241.0,52.0,0.216,2.0,144.0,604.0,509.0,61.0,32.0,7.0,11.0,7.0,0.636,59.0,55.0,0.932,1.0,0.0,0.0,.---,6.0,20.0,121.0
NO3,0.289,75.0,20.0,164.0,99.0,41.0,4.0,0.351,0.481,0.832,152.0,42.0,0.276,274.0,74.0,0.27,9.0,144.0,630.0,567.0,97.0,49.0,7.0,33.0,30.0,0.909,3.0,3.0,1.0,4.0,0.0,0.0,.---,11.0,14.0,128.0
NO4,0.28,108.0,30.0,150.0,95.0,23.0,2.0,0.346,0.498,0.844,157.0,54.0,0.344,243.0,68.0,0.28,15.0,144.0,594.0,536.0,67.0,50.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,.---,13.0,16.0,147.0
NO5,0.257,72.0,19.0,127.0,78.0,30.0,0.0,0.34,0.433,0.774,97.0,35.0,0.361,212.0,61.0,0.288,11.0,144.0,561.0,494.0,55.0,57.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,.---,13.0,12.0,114.0
NO6,0.259,55.0,11.0,134.0,88.0,31.0,4.0,0.307,0.398,0.704,122.0,34.0,0.279,209.0,52.0,0.249,5.0,144.0,565.0,518.0,46.0,33.0,5.0,5.0,5.0,1.0,4.0,4.0,1.0,5.0,0.0,0.0,.---,18.0,4.0,69.0
NO7,0.258,42.0,7.0,122.0,101.0,12.0,2.0,0.335,0.336,0.671,106.0,32.0,0.302,173.0,43.0,0.249,4.0,144.0,539.0,473.0,39.0,46.0,10.0,10.0,7.0,0.7,8.0,8.0,1.0,2.0,0.0,0.0,.---,11.0,12.0,83.0
NO8,0.209,23.0,3.0,87.0,76.0,8.0,0.0,0.265,0.249,0.515,103.0,17.0,0.165,161.0,32.0,0.199,1.0,144.0,477.0,417.0,32.0,27.0,6.0,3.0,1.0,0.333,29.0,25.0,0.862,2.0,0.0,0.0,.---,13.0,12.0,113.0
NO9,0.152,9.0,2.0,41.0,36.0,2.0,1.0,0.167,0.19,0.357,64.0,10.0,0.156,113.0,12.0,0.106,1.0,144.0,310.0,269.0,12.0,5.0,0.0,1.0,1.0,1.0,50.0,35.0,0.7,1.0,0.0,0.0,.---,6.0,5.0,120.0
