INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.22,41.0,6.0,127.0,94.0,22.0,5.0,0.275,0.306,0.581,104.0,27.0,0.26,305.0,66.0,0.216,5.0,143.0,637.0,578.0,61.0,41.0,4.0,38.0,29.0,0.763,13.0,12.0,0.923,2.0,0.0,0.0,.---,3.0,3.0,112.0
NO2,0.255,45.0,7.0,137.0,111.0,17.0,2.0,0.319,0.333,0.653,113.0,25.0,0.221,285.0,69.0,0.242,3.0,143.0,610.0,537.0,52.0,43.0,10.0,18.0,11.0,0.611,20.0,15.0,0.75,5.0,0.0,0.0,.---,5.0,11.0,70.0
NO3,0.271,59.0,11.0,147.0,115.0,21.0,0.0,0.338,0.37,0.708,127.0,35.0,0.276,287.0,85.0,0.296,6.0,143.0,613.0,543.0,60.0,53.0,5.0,18.0,13.0,0.722,7.0,6.0,0.857,6.0,0.0,0.0,.---,10.0,7.0,68.0
NO4,0.254,65.0,21.0,131.0,84.0,24.0,2.0,0.348,0.431,0.779,137.0,39.0,0.285,268.0,66.0,0.246,10.0,143.0,598.0,515.0,48.0,66.0,10.0,6.0,5.0,0.833,3.0,3.0,1.0,4.0,0.0,0.0,.---,8.0,6.0,114.0
NO5,0.241,45.0,6.0,123.0,94.0,21.0,2.0,0.309,0.325,0.634,137.0,34.0,0.248,248.0,62.0,0.25,3.0,143.0,569.0,511.0,39.0,43.0,8.0,19.0,12.0,0.632,7.0,6.0,0.857,1.0,0.0,0.0,.---,16.0,13.0,103.0
NO6,0.248,47.0,9.0,122.0,88.0,24.0,1.0,0.313,0.356,0.668,127.0,33.0,0.26,235.0,60.0,0.255,5.0,143.0,559.0,492.0,45.0,42.0,7.0,21.0,15.0,0.714,15.0,12.0,0.8,6.0,0.0,0.0,.---,12.0,7.0,105.0
NO7,0.26,49.0,14.0,123.0,86.0,21.0,2.0,0.327,0.402,0.729,119.0,25.0,0.21,220.0,54.0,0.245,7.0,143.0,528.0,473.0,48.0,42.0,6.0,14.0,8.0,0.571,5.0,5.0,1.0,2.0,0.0,0.0,.---,13.0,9.0,90.0
NO8,0.22,27.0,5.0,92.0,77.0,10.0,0.0,0.313,0.279,0.592,107.0,25.0,0.234,191.0,35.0,0.183,2.0,143.0,495.0,419.0,31.0,54.0,4.0,13.0,7.0,0.538,18.0,16.0,0.889,2.0,0.0,0.0,.---,13.0,12.0,79.0
NO9,0.213,31.0,2.0,85.0,70.0,12.0,1.0,0.271,0.263,0.534,93.0,23.0,0.247,174.0,41.0,0.236,2.0,143.0,455.0,399.0,36.0,27.0,6.0,16.0,6.0,0.375,23.0,19.0,0.826,4.0,0.0,0.0,.---,9.0,5.0,99.0
