INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.258,39.0,16.0,153.0,118.0,17.0,2.0,0.314,0.374,0.687,104.0,20.0,0.192,321.0,80.0,0.249,5.0,143.0,650.0,594.0,78.0,49.0,0.0,29.0,25.0,0.862,7.0,6.0,.857,1.0,0.0,0.0,.---,3.0,7.0,124.0
NO2,0.23,38.0,10.0,119.0,86.0,20.0,3.0,0.304,0.338,0.642,106.0,26.0,0.245,288.0,67.0,0.233,8.0,143.0,599.0,518.0,53.0,52.0,4.0,15.0,8.0,0.533,28.0,24.0,.857,1.0,0.0,0.0,.---,12.0,10.0,96.0
NO3,0.266,72.0,18.0,144.0,100.0,23.0,3.0,0.343,0.419,0.761,140.0,42.0,0.3,287.0,74.0,0.258,7.0,143.0,616.0,542.0,63.0,57.0,9.0,12.0,9.0,0.75,4.0,3.0,.750,5.0,0.0,0.0,.---,16.0,1.0,81.0
NO4,0.254,75.0,18.0,133.0,95.0,20.0,0.0,0.33,0.395,0.725,135.0,33.0,0.244,261.0,70.0,0.268,12.0,143.0,595.0,524.0,55.0,53.0,10.0,5.0,3.0,0.6,0.0,0.0,.---,7.0,0.0,0.0,.---,24.0,9.0,116.0
NO5,0.259,55.0,8.0,140.0,116.0,14.0,2.0,0.319,0.336,0.655,135.0,43.0,0.319,256.0,66.0,0.258,6.0,143.0,596.0,541.0,50.0,47.0,2.0,3.0,2.0,0.667,3.0,3.0,1.000,3.0,0.0,0.0,.---,11.0,8.0,92.0
NO6,0.269,80.0,34.0,140.0,81.0,22.0,3.0,0.318,0.519,0.837,102.0,27.0,0.265,239.0,62.0,0.259,17.0,143.0,561.0,520.0,56.0,32.0,6.0,2.0,1.0,0.5,3.0,1.0,.333,2.0,0.0,0.0,.---,12.0,7.0,126.0
NO7,0.202,44.0,11.0,96.0,67.0,13.0,5.0,0.279,0.32,0.599,101.0,24.0,0.238,213.0,41.0,0.192,4.0,143.0,534.0,475.0,39.0,46.0,5.0,10.0,3.0,0.3,8.0,7.0,.875,1.0,0.0,0.0,.---,11.0,6.0,116.0
NO8,0.215,38.0,8.0,93.0,71.0,13.0,1.0,0.28,0.305,0.585,84.0,17.0,0.202,190.0,31.0,0.163,5.0,143.0,481.0,433.0,29.0,38.0,1.0,5.0,3.0,0.6,9.0,9.0,1.000,0.0,0.0,0.0,.---,7.0,3.0,118.0
NO9,0.205,27.0,4.0,81.0,62.0,14.0,1.0,0.267,0.276,0.543,95.0,19.0,0.2,169.0,33.0,0.195,3.0,143.0,444.0,395.0,37.0,31.0,3.0,11.0,7.0,0.636,17.0,14.0,.824,1.0,0.0,0.0,.---,7.0,9.0,128.0
