INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.262,53.0,10.0,151.0,106.0,28.0,7.0,0.334,0.387,0.721,140.0,30.0,0.214,272.0,66.0,0.243,4.0,143.0,654.0,576.0,82.0,61.0,2.0,19.0,13.0,0.684,15.0,13.0,0.867,2.0,0.0,0.0,.---,7.0,10.0,105.0
NO2,0.244,56.0,10.0,134.0,115.0,7.0,2.0,0.298,0.319,0.616,141.0,38.0,0.27,246.0,69.0,0.28,4.0,143.0,641.0,549.0,78.0,42.0,2.0,34.0,24.0,0.706,48.0,43.0,0.896,5.0,0.0,0.0,.---,6.0,8.0,95.0
NO3,0.299,78.0,19.0,152.0,96.0,32.0,5.0,0.439,0.493,0.932,142.0,40.0,0.282,241.0,73.0,0.303,8.0,143.0,639.0,509.0,98.0,119.0,9.0,26.0,24.0,0.923,1.0,1.0,1.0,1.0,0.0,0.0,.---,9.0,3.0,108.0
NO4,0.3,106.0,18.0,169.0,132.0,19.0,0.0,0.341,0.429,0.77,186.0,55.0,0.296,244.0,78.0,0.32,7.0,143.0,614.0,564.0,62.0,38.0,2.0,5.0,3.0,0.6,1.0,1.0,1.0,9.0,0.0,0.0,.---,27.0,7.0,54.0
NO5,0.264,88.0,21.0,141.0,98.0,18.0,4.0,0.337,0.431,0.768,148.0,42.0,0.284,202.0,49.0,0.243,3.0,143.0,601.0,534.0,70.0,54.0,7.0,14.0,7.0,0.5,3.0,2.0,0.667,4.0,0.0,0.0,.---,15.0,6.0,142.0
NO6,0.252,73.0,13.0,128.0,84.0,25.0,6.0,0.342,0.402,0.745,107.0,35.0,0.327,192.0,48.0,0.25,5.0,143.0,590.0,507.0,69.0,63.0,10.0,9.0,5.0,0.556,3.0,3.0,1.0,7.0,0.0,0.0,.---,12.0,8.0,106.0
NO7,0.265,46.0,11.0,122.0,94.0,16.0,1.0,0.365,0.375,0.741,120.0,24.0,0.2,174.0,59.0,0.339,4.0,143.0,551.0,461.0,56.0,63.0,12.0,14.0,6.0,0.429,13.0,12.0,0.923,3.0,0.0,0.0,.---,7.0,1.0,100.0
NO8,0.235,44.0,4.0,97.0,76.0,16.0,1.0,0.3,0.308,0.608,113.0,30.0,0.265,144.0,25.0,0.174,2.0,143.0,496.0,412.0,36.0,35.0,4.0,4.0,4.0,1.0,47.0,43.0,0.915,2.0,0.0,0.0,.---,14.0,7.0,74.0
NO9,0.243,33.0,3.0,97.0,74.0,17.0,3.0,0.318,0.323,0.64,103.0,28.0,0.272,142.0,35.0,0.246,3.0,143.0,479.0,400.0,47.0,42.0,5.0,13.0,11.0,0.846,31.0,26.0,0.839,6.0,0.0,0.0,.---,8.0,5.0,92.0
