INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.271,63.0,16.0,144.0,89.0,30.0,9.0,0.339,0.451,0.79,106.0,31.0,0.292,291.0,84.0,0.289,7.0,143.0,602.0,532.0,64.0,50.0,6.0,5.0,1.0,.200,14.0,12.0,0.857,2.0,0.0,0.0,.---,7.0,4.0,114.0
NO2,0.228,28.0,7.0,117.0,96.0,12.0,2.0,0.276,0.3,0.577,105.0,18.0,0.171,268.0,54.0,0.201,2.0,143.0,608.0,513.0,49.0,30.0,5.0,19.0,13.0,.684,59.0,58.0,0.983,2.0,0.0,0.0,.---,7.0,10.0,97.0
NO3,0.237,65.0,13.0,128.0,101.0,14.0,0.0,0.319,0.335,0.654,145.0,38.0,0.262,297.0,77.0,0.259,11.0,143.0,616.0,541.0,63.0,60.0,8.0,2.0,1.0,.500,3.0,2.0,0.667,5.0,0.0,0.0,.---,22.0,6.0,94.0
NO4,0.273,84.0,30.0,151.0,103.0,18.0,0.0,0.334,0.468,0.802,137.0,37.0,0.27,280.0,74.0,0.264,12.0,143.0,607.0,553.0,67.0,44.0,7.0,4.0,2.0,.500,2.0,2.0,1.0,1.0,0.0,0.0,.---,16.0,3.0,137.0
NO5,0.275,40.0,9.0,139.0,108.0,21.0,1.0,0.358,0.374,0.732,96.0,27.0,0.281,251.0,72.0,0.287,4.0,143.0,574.0,505.0,53.0,56.0,10.0,0.0,0.0,.---,1.0,1.0,1.0,2.0,0.0,0.0,.---,11.0,15.0,91.0
NO6,0.295,70.0,27.0,149.0,99.0,23.0,0.0,0.369,0.501,0.87,113.0,33.0,0.292,233.0,66.0,0.283,12.0,143.0,570.0,505.0,65.0,56.0,4.0,4.0,2.0,.500,3.0,3.0,1.0,2.0,0.0,0.0,.---,12.0,2.0,124.0
NO7,0.244,53.0,11.0,115.0,86.0,16.0,2.0,0.31,0.356,0.666,115.0,30.0,0.261,225.0,53.0,0.236,6.0,143.0,532.0,472.0,48.0,46.0,1.0,4.0,2.0,.500,15.0,9.0,0.6,4.0,0.0,0.0,.---,11.0,4.0,111.0
NO8,0.225,41.0,5.0,98.0,72.0,20.0,1.0,0.288,0.31,0.598,121.0,25.0,0.207,193.0,44.0,0.228,4.0,143.0,503.0,435.0,42.0,34.0,6.0,7.0,5.0,.714,28.0,24.0,0.857,4.0,0.0,0.0,.---,7.0,10.0,91.0
NO9,0.208,35.0,3.0,74.0,48.0,18.0,5.0,0.263,0.313,0.576,93.0,22.0,0.237,162.0,34.0,0.21,1.0,143.0,416.0,355.0,35.0,21.0,6.0,7.0,5.0,.714,36.0,32.0,0.889,2.0,0.0,0.0,.---,6.0,6.0,83.0
