INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.268,37.0,2.0,158.0,121.0,32.0,3.0,0.333,0.342,0.675,123.0,36.0,0.293,310.0,86.0,0.277,2.0,143.0,664.0,590.0,80.0,53.0,6.0,23.0,15.0,0.652,13.0,12.0,.923,3.0,0.0,0.0,.---,7.0,6.0,113.0
NO2,0.259,34.0,3.0,135.0,115.0,16.0,1.0,0.312,0.311,0.623,110.0,26.0,0.236,264.0,71.0,0.269,2.0,143.0,609.0,521.0,70.0,41.0,1.0,25.0,15.0,0.6,48.0,42.0,.875,4.0,0.0,0.0,.---,9.0,12.0,84.0
NO3,0.364,103.0,36.0,192.0,123.0,32.0,1.0,0.468,0.633,1.101,132.0,53.0,0.402,264.0,91.0,0.345,15.0,143.0,635.0,528.0,112.0,90.0,15.0,40.0,32.0,0.8,1.0,1.0,1.000,1.0,0.0,0.0,.---,9.0,4.0,104.0
NO4,0.287,93.0,13.0,160.0,119.0,27.0,1.0,0.345,0.409,0.753,198.0,60.0,0.303,269.0,74.0,0.275,7.0,143.0,618.0,558.0,64.0,48.0,5.0,1.0,1.0,1.0,0.0,0.0,.---,7.0,0.0,0.0,.---,24.0,3.0,60.0
NO5,0.278,98.0,32.0,145.0,83.0,29.0,1.0,0.363,0.522,0.886,153.0,37.0,0.242,219.0,68.0,0.311,16.0,143.0,597.0,521.0,70.0,64.0,8.0,1.0,0.0,0.0,0.0,0.0,.---,4.0,0.0,0.0,.---,17.0,3.0,120.0
NO6,0.271,81.0,32.0,144.0,91.0,20.0,1.0,0.345,0.493,0.838,119.0,34.0,0.286,220.0,63.0,0.286,14.0,143.0,601.0,531.0,86.0,60.0,3.0,17.0,8.0,0.471,1.0,1.0,1.000,6.0,0.0,0.0,.---,15.0,7.0,133.0
NO7,0.279,51.0,8.0,138.0,109.0,19.0,2.0,0.359,0.374,0.733,120.0,41.0,0.342,204.0,54.0,0.265,4.0,143.0,568.0,494.0,54.0,56.0,8.0,8.0,7.0,0.875,5.0,5.0,1.000,5.0,0.0,0.0,.---,5.0,3.0,89.0
NO8,0.236,55.0,5.0,105.0,68.0,26.0,6.0,0.294,0.355,0.649,117.0,35.0,0.299,175.0,50.0,0.286,1.0,143.0,502.0,445.0,37.0,37.0,1.0,10.0,8.0,0.8,20.0,15.0,.750,4.0,0.0,0.0,.---,10.0,7.0,75.0
NO9,0.169,33.0,5.0,64.0,49.0,9.0,1.0,0.221,0.238,0.459,112.0,16.0,0.143,136.0,23.0,0.169,2.0,143.0,431.0,378.0,34.0,24.0,2.0,1.0,1.0,1.0,32.0,23.0,.719,4.0,0.0,0.0,.---,10.0,9.0,97.0
