INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.258,44.0,8.0,148.0,115.0,23.0,2.0,0.323,0.347,0.669,114.0,33.0,0.289,299.0,79.0,0.264,5.0,143.0,634.0,574.0,82.0,41.0,14.0,40.0,23.0,.575,8.0,5.0,.625,0.0,0.0,0.0,.---,5.0,4.0,116.0
NO2,0.207,51.0,10.0,114.0,79.0,21.0,4.0,0.263,0.315,0.578,112.0,29.0,0.259,277.0,59.0,0.213,5.0,143.0,609.0,550.0,71.0,34.0,8.0,18.0,13.0,.722,17.0,16.0,.941,1.0,0.0,0.0,.---,8.0,9.0,122.0
NO3,0.279,91.0,28.0,154.0,91.0,34.0,1.0,0.35,0.497,0.847,126.0,41.0,0.325,273.0,77.0,0.282,15.0,143.0,615.0,551.0,91.0,51.0,10.0,20.0,18.0,.900,0.0,0.0,.---,3.0,0.0,0.0,.---,7.0,3.0,112.0
NO4,0.319,117.0,47.0,161.0,78.0,31.0,5.0,0.424,0.681,1.104,116.0,45.0,0.388,219.0,79.0,0.361,19.0,143.0,602.0,504.0,95.0,91.0,3.0,1.0,0.0,.000,0.0,0.0,.---,4.0,0.0,0.0,.---,7.0,2.0,108.0
NO5,0.258,76.0,22.0,137.0,94.0,21.0,0.0,0.298,0.421,0.719,151.0,38.0,0.252,222.0,49.0,0.221,6.0,143.0,568.0,532.0,54.0,30.0,2.0,0.0,0.0,.---,0.0,0.0,.---,4.0,0.0,0.0,.---,14.0,6.0,90.0
NO6,0.281,46.0,7.0,146.0,107.0,28.0,4.0,0.318,0.39,0.709,111.0,30.0,0.27,211.0,64.0,0.303,1.0,143.0,556.0,520.0,40.0,28.0,2.0,7.0,4.0,.571,4.0,3.0,.750,3.0,0.0,0.0,.---,13.0,6.0,106.0
NO7,0.243,30.0,5.0,115.0,98.0,7.0,5.0,0.292,0.31,0.602,124.0,34.0,0.274,197.0,49.0,0.249,2.0,143.0,513.0,474.0,40.0,27.0,6.0,8.0,4.0,.500,8.0,6.0,.750,0.0,0.0,0.0,.---,15.0,19.0,82.0
NO8,0.214,32.0,2.0,94.0,82.0,10.0,0.0,0.263,0.25,0.513,103.0,29.0,0.282,180.0,39.0,0.217,1.0,143.0,478.0,440.0,28.0,28.0,2.0,0.0,0.0,.---,12.0,7.0,.583,1.0,0.0,0.0,.---,11.0,11.0,90.0
NO9,0.13,14.0,3.0,36.0,31.0,2.0,0.0,0.164,0.17,0.334,71.0,9.0,0.127,120.0,14.0,0.117,1.0,143.0,323.0,276.0,13.0,11.0,0.0,0.0,0.0,.---,50.0,36.0,.720,0.0,0.0,0.0,.---,4.0,7.0,136.0
