INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.251,45.0,16.0,153.0,114.0,22.0,1.0,0.307,0.369,0.676,120.0,25.0,0.208,321.0,74.0,0.231,7.0,144.0,665.0,609.0,83.0,47.0,2.0,16.0,13.0,.813,7.0,7.0,1.000,0.0,0.0,0.0,.---,2.0,3.0,103.0
NO2,0.248,22.0,4.0,134.0,110.0,18.0,2.0,0.304,0.311,0.615,91.0,22.0,0.242,271.0,67.0,0.247,1.0,144.0,620.0,540.0,60.0,39.0,4.0,20.0,13.0,.650,38.0,37.0,.974,0.0,0.0,0.0,.---,10.0,5.0,92.0
NO3,0.292,74.0,19.0,164.0,109.0,35.0,1.0,0.368,0.46,0.828,145.0,41.0,0.283,294.0,88.0,0.299,10.0,144.0,634.0,561.0,86.0,63.0,6.0,21.0,18.0,.857,2.0,1.0,.500,3.0,0.0,0.0,.---,9.0,12.0,78.0
NO4,0.297,102.0,34.0,145.0,93.0,18.0,0.0,0.411,0.542,0.953,135.0,39.0,0.289,241.0,70.0,0.29,17.0,144.0,599.0,489.0,91.0,83.0,18.0,0.0,0.0,.---,0.0,0.0,.---,9.0,0.0,0.0,.---,13.0,4.0,61.0
NO5,0.334,78.0,21.0,173.0,118.0,33.0,1.0,0.394,0.523,0.917,138.0,45.0,0.326,238.0,76.0,0.319,11.0,144.0,579.0,518.0,71.0,41.0,11.0,3.0,1.0,.333,9.0,8.0,.889,1.0,0.0,0.0,.---,13.0,3.0,75.0
NO6,0.27,63.0,18.0,134.0,88.0,24.0,4.0,0.322,0.444,0.766,127.0,34.0,0.268,225.0,59.0,0.262,5.0,144.0,543.0,496.0,49.0,36.0,3.0,8.0,5.0,.625,6.0,6.0,1.000,2.0,0.0,0.0,.---,21.0,3.0,93.0
NO7,0.29,74.0,19.0,139.0,92.0,27.0,1.0,0.345,0.469,0.814,116.0,34.0,0.293,224.0,69.0,0.308,7.0,144.0,532.0,480.0,43.0,43.0,1.0,10.0,7.0,.700,2.0,2.0,1.000,6.0,0.0,0.0,.---,11.0,6.0,93.0
NO8,0.223,39.0,7.0,100.0,75.0,17.0,1.0,0.268,0.312,0.58,108.0,25.0,0.231,184.0,43.0,0.234,3.0,144.0,488.0,449.0,33.0,26.0,3.0,11.0,7.0,.636,7.0,7.0,1.000,3.0,0.0,0.0,.---,5.0,9.0,85.0
NO9,0.096,16.0,0.0,27.0,19.0,5.0,3.0,0.136,0.136,0.272,86.0,12.0,0.14,119.0,12.0,0.101,0.0,144.0,322.0,280.0,10.0,13.0,0.0,0.0,0.0,.---,40.0,28.0,.700,1.0,0.0,0.0,.---,3.0,8.0,141.0
