INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.262,37.0,14.0,153.0,101.0,35.0,3.0,0.333,0.405,0.738,98.0,17.0,0.173,334.0,86.0,0.257,9.0,143.0,654.0,583.0,87.0,57.0,6.0,24.0,17.0,.708,7.0,5.0,.714,3.0,0.0,0.0,.---,4.0,8.0,136.0
NO2,0.261,37.0,9.0,146.0,108.0,25.0,4.0,0.301,0.368,0.669,114.0,25.0,0.219,303.0,78.0,0.257,5.0,143.0,641.0,560.0,64.0,30.0,2.0,24.0,17.0,.708,51.0,49.0,.961,0.0,0.0,0.0,.---,6.0,8.0,100.0
NO3,0.228,71.0,16.0,119.0,76.0,25.0,2.0,0.322,0.376,0.698,159.0,40.0,0.252,283.0,61.0,0.216,11.0,143.0,602.0,521.0,59.0,72.0,2.0,13.0,8.0,.615,4.0,2.0,.500,5.0,0.0,0.0,.---,8.0,1.0,119.0
NO4,0.267,79.0,15.0,142.0,97.0,28.0,2.0,0.338,0.412,0.75,146.0,41.0,0.281,267.0,67.0,0.251,7.0,143.0,598.0,531.0,65.0,57.0,3.0,4.0,3.0,.750,0.0,0.0,.---,7.0,0.0,0.0,.---,15.0,10.0,125.0
NO5,0.23,51.0,15.0,114.0,79.0,18.0,2.0,0.3,0.366,0.665,116.0,25.0,0.216,234.0,44.0,0.188,6.0,143.0,550.0,495.0,42.0,50.0,0.0,9.0,3.0,.333,4.0,3.0,.750,2.0,0.0,0.0,.---,9.0,4.0,106.0
NO6,0.279,52.0,14.0,136.0,99.0,21.0,2.0,0.349,0.417,0.766,109.0,30.0,0.275,236.0,61.0,0.258,7.0,143.0,554.0,487.0,53.0,51.0,3.0,14.0,6.0,.429,14.0,10.0,.714,3.0,0.0,0.0,.---,11.0,12.0,95.0
NO7,0.247,50.0,9.0,123.0,83.0,21.0,10.0,0.299,0.384,0.683,120.0,27.0,0.225,221.0,56.0,0.253,4.0,143.0,556.0,497.0,37.0,34.0,4.0,15.0,8.0,.533,19.0,17.0,.895,4.0,0.0,0.0,.---,9.0,17.0,100.0
NO8,0.254,46.0,6.0,115.0,89.0,16.0,4.0,0.31,0.347,0.657,112.0,29.0,0.259,199.0,46.0,0.231,1.0,143.0,503.0,453.0,35.0,33.0,6.0,1.0,1.0,1.000,7.0,7.0,1.000,4.0,0.0,0.0,.---,15.0,10.0,86.0
NO9,0.102,9.0,2.0,30.0,24.0,4.0,0.0,0.138,0.137,0.274,71.0,8.0,0.113,150.0,15.0,0.1,1.0,143.0,336.0,293.0,13.0,12.0,0.0,0.0,0.0,.---,48.0,31.0,.646,0.0,0.0,0.0,.---,5.0,7.0,146.0
