INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.233,35.0,9.0,132.0,94.0,27.0,2.0,0.274,0.335,0.609,101.0,30.0,0.297,297.0,66.0,0.222,6.0,143.0,612.0,567.0,58.0,27.0,5.0,16.0,11.0,0.688,13.0,13.0,1.000,0.0,0.0,0.0,.---,6.0,4.0,97.0
NO2,0.259,35.0,7.0,135.0,95.0,27.0,6.0,0.308,0.374,0.681,93.0,21.0,0.226,265.0,67.0,0.253,2.0,143.0,586.0,522.0,58.0,35.0,3.0,33.0,29.0,0.879,25.0,24.0,.960,2.0,0.0,0.0,.---,5.0,7.0,106.0
NO3,0.24,50.0,8.0,124.0,92.0,16.0,8.0,0.333,0.349,0.682,129.0,27.0,0.209,266.0,64.0,0.241,6.0,143.0,595.0,516.0,55.0,64.0,9.0,8.0,7.0,0.875,4.0,3.0,.750,3.0,0.0,0.0,.---,7.0,4.0,99.0
NO4,0.216,58.0,23.0,110.0,67.0,20.0,0.0,0.305,0.39,0.695,128.0,25.0,0.195,256.0,54.0,0.211,12.0,143.0,580.0,510.0,56.0,59.0,8.0,1.0,0.0,0.0,0.0,0.0,.---,3.0,0.0,0.0,.---,17.0,5.0,137.0
NO5,0.281,64.0,12.0,142.0,94.0,32.0,4.0,0.349,0.431,0.78,119.0,33.0,0.277,234.0,57.0,0.244,5.0,143.0,565.0,506.0,58.0,47.0,8.0,10.0,6.0,0.6,1.0,1.0,1.000,3.0,0.0,0.0,.---,7.0,8.0,90.0
NO6,0.258,57.0,13.0,128.0,88.0,26.0,1.0,0.326,0.393,0.719,124.0,34.0,0.274,220.0,55.0,0.25,5.0,143.0,554.0,496.0,47.0,41.0,10.0,10.0,10.0,1.0,7.0,5.0,.714,2.0,0.0,0.0,.---,10.0,11.0,119.0
NO7,0.229,49.0,6.0,105.0,72.0,24.0,3.0,0.28,0.333,0.614,126.0,29.0,0.23,203.0,50.0,0.246,3.0,143.0,500.0,459.0,31.0,29.0,5.0,6.0,4.0,0.667,7.0,4.0,.571,3.0,0.0,0.0,.---,8.0,10.0,138.0
NO8,0.205,41.0,7.0,84.0,60.0,16.0,1.0,0.272,0.301,0.572,98.0,24.0,0.245,174.0,31.0,0.178,2.0,143.0,467.0,409.0,37.0,32.0,6.0,5.0,4.0,0.8,22.0,18.0,.818,2.0,0.0,0.0,.---,7.0,12.0,101.0
NO9,0.194,24.0,5.0,72.0,53.0,11.0,3.0,0.228,0.28,0.508,68.0,14.0,0.206,154.0,36.0,0.234,2.0,143.0,418.0,372.0,28.0,16.0,2.0,3.0,1.0,0.333,28.0,24.0,.857,4.0,0.0,0.0,.---,11.0,12.0,111.0
