INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.246,26.0,3.0,143.0,127.0,12.0,1.0,0.285,0.285,0.57,120.0,27.0,0.225,322.0,83.0,0.258,2.0,144.0,642.0,582.0,56.0,27.0,6.0,41.0,26.0,0.634,31.0,25.0,.806,2.0,0.0,0.0,.---,4.0,8.0,77.0
NO2,0.288,46.0,9.0,155.0,113.0,29.0,4.0,0.346,0.407,0.753,115.0,36.0,0.313,277.0,75.0,0.271,6.0,144.0,634.0,538.0,76.0,45.0,4.0,16.0,10.0,0.625,48.0,45.0,.938,2.0,0.0,0.0,.---,8.0,17.0,94.0
NO3,0.271,62.0,9.0,147.0,107.0,30.0,1.0,0.355,0.38,0.735,155.0,47.0,0.303,290.0,77.0,0.266,3.0,144.0,625.0,542.0,66.0,60.0,13.0,8.0,4.0,0.5,5.0,5.0,1.000,5.0,0.0,0.0,.---,14.0,12.0,95.0
NO4,0.281,80.0,15.0,146.0,99.0,32.0,0.0,0.373,0.43,0.803,164.0,49.0,0.299,264.0,75.0,0.284,9.0,144.0,603.0,519.0,64.0,75.0,4.0,1.0,0.0,0.0,0.0,0.0,.---,5.0,0.0,0.0,.---,11.0,2.0,137.0
NO5,0.286,68.0,3.0,153.0,115.0,30.0,5.0,0.345,0.378,0.723,173.0,52.0,0.301,256.0,69.0,0.27,1.0,144.0,592.0,535.0,51.0,45.0,6.0,10.0,7.0,0.7,2.0,1.0,.500,5.0,0.0,0.0,.---,10.0,6.0,79.0
NO6,0.243,56.0,7.0,123.0,91.0,22.0,3.0,0.293,0.339,0.632,149.0,30.0,0.201,231.0,57.0,0.247,4.0,144.0,564.0,507.0,47.0,33.0,6.0,3.0,0.0,0.0,11.0,11.0,1.000,7.0,0.0,0.0,.---,14.0,8.0,78.0
NO7,0.224,34.0,4.0,109.0,84.0,19.0,2.0,0.275,0.296,0.571,111.0,25.0,0.225,209.0,53.0,0.254,1.0,144.0,542.0,487.0,25.0,31.0,5.0,3.0,3.0,1.0,16.0,15.0,.938,4.0,0.0,0.0,.---,10.0,7.0,77.0
NO8,0.254,50.0,9.0,117.0,93.0,15.0,0.0,0.312,0.345,0.657,115.0,35.0,0.304,200.0,47.0,0.235,2.0,144.0,523.0,461.0,44.0,35.0,6.0,1.0,0.0,0.0,19.0,17.0,.895,4.0,0.0,0.0,.---,12.0,5.0,96.0
NO9,0.206,35.0,4.0,81.0,59.0,15.0,3.0,0.28,0.289,0.57,95.0,23.0,0.242,172.0,37.0,0.215,3.0,144.0,456.0,394.0,37.0,38.0,3.0,12.0,7.0,0.583,24.0,21.0,.875,0.0,0.0,0.0,.---,5.0,8.0,73.0
