INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.251,29.0,2.0,145.0,115.0,24.0,4.0,0.314,0.317,0.63,132.0,28.0,0.212,319.0,80.0,0.251,1.0,144.0,649.0,578.0,61.0,53.0,1.0,18.0,9.0,.500,17.0,15.0,.882,2.0,0.0,0.0,.---,6.0,9.0,87.0
NO2,0.224,38.0,4.0,116.0,89.0,21.0,2.0,0.291,0.295,0.586,110.0,23.0,0.209,268.0,65.0,0.243,2.0,144.0,610.0,519.0,74.0,41.0,9.0,15.0,12.0,.800,48.0,40.0,.833,1.0,0.0,0.0,.---,6.0,5.0,100.0
NO3,0.285,67.0,14.0,155.0,108.0,31.0,2.0,0.372,0.427,0.799,141.0,42.0,0.298,280.0,83.0,0.296,8.0,144.0,624.0,543.0,75.0,65.0,12.0,34.0,29.0,.853,0.0,0.0,.---,4.0,0.0,0.0,.---,10.0,4.0,90.0
NO4,0.302,94.0,25.0,161.0,109.0,27.0,0.0,0.381,0.493,0.875,157.0,50.0,0.318,246.0,67.0,0.272,9.0,144.0,606.0,533.0,62.0,64.0,6.0,0.0,0.0,.---,0.0,0.0,.---,3.0,0.0,0.0,.---,20.0,7.0,84.0
NO5,0.266,78.0,21.0,138.0,88.0,29.0,0.0,0.345,0.443,0.788,152.0,39.0,0.257,243.0,58.0,0.239,9.0,144.0,587.0,519.0,59.0,54.0,10.0,5.0,3.0,.600,1.0,1.0,1.000,3.0,0.0,0.0,.---,13.0,2.0,77.0
NO6,0.227,48.0,9.0,116.0,82.0,23.0,2.0,0.291,0.333,0.624,134.0,25.0,0.187,224.0,51.0,0.228,5.0,144.0,563.0,510.0,36.0,42.0,5.0,9.0,4.0,.444,5.0,3.0,.600,3.0,0.0,0.0,.---,14.0,9.0,100.0
NO7,0.279,47.0,7.0,134.0,102.0,23.0,2.0,0.331,0.378,0.709,121.0,36.0,0.298,212.0,50.0,0.236,2.0,144.0,533.0,481.0,38.0,34.0,5.0,8.0,6.0,.750,11.0,10.0,.909,3.0,0.0,0.0,.---,15.0,6.0,87.0
NO8,0.26,41.0,8.0,114.0,87.0,16.0,3.0,0.33,0.365,0.695,113.0,31.0,0.274,187.0,41.0,0.219,3.0,144.0,509.0,438.0,34.0,38.0,8.0,11.0,8.0,.727,28.0,24.0,.857,1.0,0.0,0.0,.---,8.0,11.0,105.0
NO9,0.233,23.0,1.0,93.0,80.0,11.0,1.0,0.271,0.273,0.544,103.0,20.0,0.194,166.0,39.0,0.235,0.0,144.0,463.0,399.0,36.0,20.0,2.0,7.0,6.0,.857,41.0,39.0,.951,3.0,0.0,0.0,.---,6.0,7.0,90.0
