INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.319,36.0,5.0,195.0,165.0,21.0,4.0,0.375,0.391,0.766,113.0,29.0,0.257,316.0,97.0,0.307,1.0,144.0,673.0,611.0,100.0,50.0,6.0,37.0,26.0,.703,6.0,4.0,.667,2.0,0.0,0.0,.---,5.0,7.0,62.0
NO2,0.266,37.0,5.0,140.0,105.0,27.0,3.0,0.328,0.357,0.684,105.0,25.0,0.238,266.0,71.0,0.267,3.0,144.0,624.0,527.0,63.0,44.0,5.0,20.0,17.0,.850,53.0,47.0,.887,1.0,0.0,0.0,.---,7.0,7.0,91.0
NO3,0.272,77.0,14.0,153.0,109.0,27.0,3.0,0.339,0.405,0.744,185.0,50.0,0.27,305.0,79.0,0.259,9.0,144.0,635.0,563.0,86.0,56.0,4.0,11.0,8.0,.727,7.0,6.0,.857,6.0,0.0,0.0,.---,15.0,16.0,96.0
NO4,0.296,82.0,17.0,161.0,113.0,28.0,3.0,0.379,0.452,0.831,157.0,49.0,0.312,273.0,80.0,0.293,10.0,144.0,620.0,544.0,83.0,71.0,3.0,10.0,9.0,.900,0.0,0.0,.---,2.0,0.0,0.0,.---,17.0,7.0,96.0
NO5,0.299,93.0,15.0,158.0,114.0,29.0,0.0,0.37,0.439,0.809,150.0,49.0,0.327,242.0,76.0,0.314,6.0,144.0,602.0,528.0,68.0,61.0,2.0,4.0,4.0,1.000,4.0,4.0,1.000,7.0,0.0,0.0,.---,17.0,7.0,68.0
NO6,0.277,82.0,14.0,139.0,91.0,30.0,4.0,0.363,0.437,0.8,129.0,40.0,0.31,220.0,62.0,0.282,7.0,144.0,577.0,501.0,49.0,64.0,6.0,7.0,5.0,.714,1.0,1.0,1.000,5.0,0.0,0.0,.---,12.0,4.0,91.0
NO7,0.235,43.0,6.0,111.0,87.0,16.0,2.0,0.285,0.315,0.6,115.0,25.0,0.217,197.0,43.0,0.218,5.0,144.0,533.0,473.0,35.0,32.0,4.0,2.0,2.0,1.000,21.0,18.0,.857,6.0,0.0,0.0,.---,14.0,11.0,93.0
NO8,0.178,27.0,2.0,74.0,58.0,13.0,1.0,0.264,0.228,0.493,103.0,16.0,0.155,162.0,32.0,0.198,2.0,144.0,478.0,416.0,29.0,48.0,2.0,5.0,3.0,.600,10.0,9.0,.900,3.0,0.0,0.0,.---,14.0,3.0,91.0
NO9,0.088,10.0,0.0,22.0,19.0,3.0,0.0,0.122,0.1,0.221,69.0,6.0,0.087,108.0,11.0,0.102,0.0,144.0,291.0,251.0,7.0,10.0,0.0,0.0,0.0,.---,39.0,28.0,.718,2.0,0.0,0.0,.---,4.0,4.0,120.0
