INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.245,34.0,9.0,147.0,104.0,31.0,3.0,0.291,0.352,0.643,101.0,24.0,0.238,319.0,85.0,0.266,5.0,143.0,645.0,599.0,61.0,36.0,3.0,12.0,8.0,.667,5.0,5.0,1.000,2.0,0.0,0.0,.---,8.0,5.0,101.0
NO2,0.223,27.0,6.0,123.0,92.0,20.0,5.0,0.274,0.31,0.584,104.0,19.0,0.183,292.0,67.0,0.229,3.0,143.0,630.0,552.0,61.0,34.0,5.0,32.0,24.0,.750,42.0,39.0,.929,0.0,0.0,0.0,.---,7.0,3.0,108.0
NO3,0.332,72.0,23.0,177.0,118.0,33.0,3.0,0.417,0.535,0.952,128.0,39.0,0.305,282.0,87.0,0.309,12.0,143.0,622.0,533.0,98.0,81.0,1.0,16.0,13.0,.813,1.0,1.0,1.000,6.0,0.0,0.0,.---,6.0,16.0,74.0
NO4,0.284,69.0,17.0,151.0,113.0,19.0,2.0,0.358,0.424,0.782,157.0,37.0,0.236,264.0,80.0,0.303,8.0,143.0,600.0,531.0,55.0,60.0,4.0,1.0,1.0,1.000,0.0,0.0,.---,5.0,0.0,0.0,.---,13.0,11.0,92.0
NO5,0.283,91.0,22.0,155.0,111.0,21.0,1.0,0.331,0.445,0.776,164.0,55.0,0.335,266.0,85.0,0.32,14.0,143.0,590.0,548.0,55.0,32.0,8.0,1.0,0.0,.000,1.0,1.0,1.000,1.0,0.0,0.0,.---,14.0,17.0,86.0
NO6,0.253,71.0,22.0,126.0,78.0,26.0,0.0,0.308,0.438,0.746,114.0,29.0,0.254,210.0,58.0,0.276,11.0,143.0,541.0,498.0,58.0,37.0,3.0,5.0,1.0,.200,2.0,2.0,1.000,1.0,0.0,0.0,.---,16.0,6.0,120.0
NO7,0.28,50.0,18.0,139.0,83.0,37.0,1.0,0.325,0.467,0.792,114.0,29.0,0.254,204.0,61.0,0.299,9.0,143.0,533.0,497.0,40.0,31.0,3.0,3.0,1.0,.333,1.0,1.0,1.000,1.0,0.0,0.0,.---,16.0,13.0,82.0
NO8,0.214,38.0,6.0,94.0,71.0,16.0,1.0,0.287,0.296,0.583,105.0,22.0,0.21,172.0,33.0,0.192,2.0,143.0,503.0,439.0,32.0,42.0,3.0,3.0,2.0,.667,24.0,18.0,.750,1.0,0.0,0.0,.---,10.0,8.0,91.0
NO9,0.113,9.0,1.0,31.0,27.0,3.0,0.0,0.152,0.135,0.287,74.0,8.0,0.108,124.0,10.0,0.081,1.0,143.0,325.0,274.0,9.0,12.0,1.0,0.0,0.0,.---,53.0,36.0,.679,2.0,0.0,0.0,.---,3.0,3.0,118.0
