INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.255,52.0,17.0,151.0,101.0,26.0,7.0,0.305,0.409,0.715,106.0,27.0,0.255,284.0,71.0,0.25,8.0,143.0,648.0,591.0,76.0,38.0,6.0,20.0,17.0,0.85,11.0,9.0,.818,4.0,0.0,0.0,.---,4.0,5.0,112.0
NO2,0.249,54.0,13.0,135.0,86.0,31.0,5.0,0.289,0.396,0.685,115.0,25.0,0.217,241.0,59.0,0.245,6.0,143.0,613.0,543.0,67.0,27.0,6.0,11.0,7.0,0.636,36.0,31.0,.861,6.0,0.0,0.0,.---,6.0,7.0,91.0
NO3,0.317,84.0,26.0,173.0,117.0,25.0,5.0,0.384,0.525,0.909,139.0,44.0,0.317,252.0,83.0,0.329,10.0,143.0,616.0,545.0,89.0,58.0,5.0,17.0,13.0,0.765,1.0,1.0,1.000,7.0,0.0,0.0,.---,9.0,3.0,90.0
NO4,0.277,94.0,33.0,147.0,89.0,24.0,1.0,0.356,0.512,0.868,134.0,35.0,0.261,230.0,58.0,0.252,14.0,143.0,604.0,531.0,84.0,59.0,9.0,13.0,9.0,0.692,0.0,0.0,.---,5.0,0.0,0.0,.---,12.0,2.0,106.0
NO5,0.254,84.0,32.0,134.0,78.0,21.0,3.0,0.332,0.488,0.819,129.0,33.0,0.256,200.0,48.0,0.24,8.0,143.0,591.0,527.0,81.0,58.0,4.0,1.0,1.0,1.0,0.0,0.0,.---,2.0,0.0,0.0,.---,12.0,4.0,108.0
NO6,0.278,78.0,25.0,144.0,92.0,25.0,2.0,0.336,0.479,0.815,130.0,33.0,0.254,198.0,65.0,0.328,10.0,143.0,569.0,518.0,68.0,45.0,2.0,5.0,1.0,0.2,1.0,1.0,1.000,3.0,0.0,0.0,.---,10.0,4.0,98.0
NO7,0.277,65.0,19.0,135.0,86.0,25.0,5.0,0.346,0.466,0.812,108.0,27.0,0.25,174.0,56.0,0.322,10.0,143.0,554.0,487.0,65.0,48.0,5.0,13.0,10.0,0.769,12.0,10.0,.833,4.0,0.0,0.0,.---,14.0,9.0,112.0
NO8,0.259,56.0,13.0,110.0,77.0,15.0,5.0,0.306,0.409,0.716,110.0,34.0,0.309,144.0,38.0,0.264,4.0,143.0,474.0,425.0,44.0,26.0,3.0,4.0,2.0,0.5,20.0,20.0,1.000,0.0,0.0,0.0,.---,5.0,8.0,99.0
NO9,0.225,47.0,10.0,89.0,61.0,14.0,4.0,0.264,0.356,0.62,99.0,24.0,0.242,135.0,30.0,0.222,3.0,143.0,446.0,396.0,42.0,20.0,2.0,9.0,5.0,0.556,27.0,25.0,.926,3.0,0.0,0.0,.---,7.0,9.0,96.0
