INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.272,50.0,6.0,157.0,132.0,16.0,3.0,0.332,0.341,0.673,123.0,43.0,0.35,314.0,78.0,0.248,3.0,144.0,646.0,577.0,83.0,46.0,7.0,63.0,52.0,0.825,13.0,13.0,1.000,3.0,0.0,0.0,.---,5.0,0.0,105.0
NO2,0.265,52.0,3.0,138.0,107.0,24.0,4.0,0.311,0.344,0.655,126.0,36.0,0.286,288.0,70.0,0.243,1.0,144.0,595.0,521.0,38.0,32.0,5.0,11.0,9.0,0.818,36.0,33.0,.917,4.0,0.0,0.0,.---,7.0,11.0,45.0
NO3,0.279,61.0,8.0,151.0,118.0,22.0,3.0,0.334,0.375,0.709,146.0,45.0,0.308,298.0,83.0,0.279,4.0,144.0,602.0,542.0,52.0,43.0,4.0,19.0,12.0,0.632,10.0,10.0,1.000,3.0,0.0,0.0,.---,6.0,11.0,83.0
NO4,0.229,64.0,6.0,123.0,93.0,23.0,1.0,0.293,0.309,0.602,161.0,42.0,0.261,267.0,67.0,0.251,4.0,144.0,597.0,537.0,46.0,48.0,4.0,4.0,2.0,0.5,0.0,0.0,.---,8.0,0.0,0.0,.---,14.0,4.0,107.0
NO5,0.234,41.0,6.0,111.0,86.0,18.0,1.0,0.311,0.314,0.625,102.0,20.0,0.196,244.0,55.0,0.225,5.0,144.0,540.0,475.0,44.0,47.0,8.0,9.0,5.0,0.556,8.0,6.0,.750,4.0,0.0,0.0,.---,10.0,6.0,83.0
NO6,0.242,44.0,9.0,119.0,92.0,18.0,0.0,0.293,0.334,0.627,107.0,30.0,0.28,243.0,57.0,0.235,8.0,144.0,542.0,491.0,50.0,31.0,5.0,5.0,3.0,0.6,14.0,12.0,.857,2.0,0.0,0.0,.---,7.0,10.0,67.0
NO7,0.25,47.0,7.0,116.0,85.0,20.0,4.0,0.293,0.356,0.648,114.0,29.0,0.254,223.0,56.0,0.251,4.0,144.0,514.0,464.0,44.0,25.0,6.0,17.0,11.0,0.647,16.0,12.0,.750,7.0,0.0,0.0,.---,8.0,10.0,90.0
NO8,0.28,28.0,2.0,127.0,114.0,9.0,2.0,0.342,0.322,0.664,127.0,29.0,0.228,206.0,58.0,0.282,1.0,144.0,513.0,454.0,52.0,36.0,8.0,10.0,5.0,0.5,16.0,13.0,.813,2.0,0.0,0.0,.---,9.0,5.0,79.0
NO9,0.226,45.0,5.0,96.0,77.0,10.0,4.0,0.268,0.304,0.572,108.0,27.0,0.25,178.0,39.0,0.219,1.0,144.0,486.0,425.0,32.0,22.0,4.0,23.0,16.0,0.696,36.0,31.0,.861,4.0,0.0,0.0,.---,6.0,7.0,72.0
