INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.282,54.0,8.0,164.0,134.0,17.0,5.0,0.353,0.369,0.723,115.0,37.0,0.322,291.0,78.0,0.268,3.0,144.0,654.0,582.0,95.0,59.0,6.0,16.0,10.0,0.625,6.0,6.0,1.0,1.0,0.0,0.0,.---,7.0,14.0,97.0
NO2,0.25,41.0,8.0,127.0,100.0,15.0,4.0,0.319,0.343,0.662,94.0,24.0,0.255,243.0,56.0,0.23,3.0,144.0,620.0,507.0,89.0,44.0,8.0,23.0,15.0,0.652,61.0,59.0,0.967,2.0,0.0,0.0,.---,11.0,4.0,119.0
NO3,0.29,76.0,17.0,161.0,114.0,27.0,3.0,0.351,0.441,0.792,163.0,51.0,0.313,287.0,80.0,0.279,7.0,144.0,619.0,555.0,88.0,39.0,15.0,4.0,3.0,0.75,6.0,6.0,1.0,4.0,0.0,0.0,.---,9.0,9.0,116.0
NO4,0.336,139.0,42.0,175.0,108.0,25.0,0.0,0.419,0.626,1.045,156.0,57.0,0.365,258.0,85.0,0.329,14.0,144.0,602.0,521.0,79.0,67.0,10.0,3.0,2.0,0.667,1.0,1.0,1.0,3.0,0.0,0.0,.---,12.0,14.0,126.0
NO5,0.266,78.0,19.0,140.0,100.0,20.0,1.0,0.328,0.416,0.744,140.0,42.0,0.3,238.0,67.0,0.282,7.0,144.0,586.0,527.0,51.0,45.0,7.0,2.0,1.0,0.5,1.0,1.0,1.0,6.0,0.0,0.0,.---,22.0,8.0,81.0
NO6,0.279,59.0,17.0,143.0,104.0,21.0,1.0,0.336,0.423,0.759,117.0,35.0,0.299,217.0,56.0,0.258,3.0,144.0,566.0,513.0,62.0,41.0,6.0,13.0,8.0,0.615,1.0,1.0,1.0,5.0,0.0,0.0,.---,20.0,2.0,85.0
NO7,0.252,38.0,7.0,128.0,100.0,20.0,1.0,0.312,0.337,0.648,119.0,31.0,0.261,207.0,49.0,0.237,2.0,144.0,559.0,508.0,50.0,37.0,7.0,14.0,10.0,0.714,11.0,7.0,0.636,0.0,0.0,0.0,.---,7.0,2.0,101.0
NO8,0.223,46.0,6.0,97.0,65.0,25.0,1.0,0.286,0.326,0.612,91.0,22.0,0.242,180.0,41.0,0.228,1.0,144.0,493.0,435.0,42.0,38.0,2.0,2.0,2.0,1.0,16.0,14.0,0.875,4.0,0.0,0.0,.---,12.0,7.0,105.0
NO9,0.135,13.0,0.0,34.0,31.0,3.0,0.0,0.145,0.147,0.292,64.0,12.0,0.188,109.0,15.0,0.138,0.0,144.0,283.0,252.0,10.0,2.0,1.0,1.0,0.0,0.0,36.0,28.0,0.778,0.0,0.0,0.0,.---,2.0,4.0,111.0
