INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.276,53.0,8.0,160.0,123.0,19.0,10.0,0.358,0.385,0.743,120.0,33.0,0.275,283.0,64.0,0.226,2.0,143.0,662.0,579.0,92.0,67.0,7.0,39.0,33.0,0.846,10.0,9.0,.900,0.0,0.0,0.0,.---,6.0,6.0,134.0
NO2,0.276,54.0,2.0,150.0,132.0,11.0,5.0,0.35,0.325,0.675,128.0,45.0,0.352,270.0,72.0,0.267,0.0,143.0,642.0,544.0,74.0,60.0,2.0,41.0,32.0,0.78,38.0,36.0,.947,0.0,0.0,0.0,.---,11.0,12.0,91.0
NO3,0.266,65.0,7.0,150.0,123.0,20.0,0.0,0.33,0.339,0.669,175.0,48.0,0.274,297.0,70.0,0.236,5.0,143.0,632.0,564.0,63.0,52.0,4.0,15.0,11.0,0.733,8.0,8.0,1.000,4.0,0.0,0.0,.---,10.0,7.0,93.0
NO4,0.26,101.0,30.0,142.0,86.0,26.0,0.0,0.336,0.473,0.809,172.0,47.0,0.273,261.0,61.0,0.234,9.0,143.0,619.0,546.0,73.0,65.0,1.0,2.0,2.0,1.0,0.0,0.0,.---,7.0,0.0,0.0,.---,11.0,5.0,123.0
NO5,0.262,69.0,9.0,137.0,95.0,31.0,2.0,0.339,0.38,0.719,139.0,40.0,0.288,236.0,64.0,0.271,6.0,143.0,593.0,523.0,68.0,62.0,2.0,11.0,9.0,0.818,1.0,0.0,.000,6.0,0.0,0.0,.---,11.0,3.0,109.0
NO6,0.271,70.0,21.0,132.0,82.0,27.0,2.0,0.349,0.464,0.813,119.0,33.0,0.277,201.0,62.0,0.308,14.0,143.0,556.0,487.0,57.0,52.0,8.0,14.0,10.0,0.714,6.0,6.0,1.000,3.0,0.0,0.0,.---,15.0,7.0,110.0
NO7,0.229,65.0,14.0,109.0,66.0,25.0,4.0,0.294,0.387,0.682,130.0,33.0,0.254,193.0,47.0,0.244,11.0,143.0,534.0,475.0,49.0,38.0,7.0,9.0,5.0,0.556,12.0,11.0,.917,3.0,0.0,0.0,.---,10.0,8.0,109.0
NO8,0.231,45.0,9.0,99.0,65.0,24.0,1.0,0.297,0.355,0.652,116.0,21.0,0.181,165.0,35.0,0.212,2.0,143.0,487.0,428.0,45.0,36.0,6.0,4.0,4.0,1.0,17.0,12.0,.706,5.0,0.0,0.0,.---,9.0,10.0,107.0
NO9,0.25,29.0,2.0,109.0,90.0,16.0,1.0,0.317,0.305,0.622,100.0,24.0,0.24,170.0,32.0,0.188,0.0,143.0,498.0,436.0,54.0,39.0,5.0,28.0,23.0,0.821,21.0,16.0,.762,2.0,0.0,0.0,.---,5.0,16.0,92.0
