INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.359,55.0,14.0,216.0,156.0,36.0,10.0,0.419,0.522,0.941,118.0,41.0,0.347,290.0,86.0,0.297,3.0,143.0,675.0,602.0,108.0,60.0,4.0,33.0,17.0,.515,9.0,7.0,.778,2.0,0.0,0.0,.---,6.0,2.0,78.0
NO2,0.282,47.0,8.0,159.0,121.0,30.0,0.0,0.355,0.378,0.733,128.0,39.0,0.305,263.0,77.0,0.293,2.0,143.0,648.0,563.0,73.0,57.0,7.0,10.0,6.0,.600,24.0,20.0,.833,1.0,0.0,0.0,.---,12.0,7.0,98.0
NO3,0.27,77.0,13.0,147.0,112.0,19.0,3.0,0.367,0.387,0.754,171.0,49.0,0.287,253.0,71.0,0.281,4.0,143.0,641.0,545.0,88.0,75.0,13.0,19.0,12.0,.632,1.0,1.0,1.000,7.0,0.0,0.0,.---,14.0,11.0,134.0
NO4,0.284,132.0,40.0,152.0,76.0,36.0,0.0,0.372,0.575,0.946,165.0,52.0,0.315,247.0,68.0,0.275,17.0,143.0,616.0,536.0,87.0,70.0,7.0,1.0,1.0,1.000,0.0,0.0,.---,3.0,0.0,0.0,.---,13.0,12.0,177.0
NO5,0.234,97.0,23.0,122.0,66.0,32.0,1.0,0.302,0.431,0.733,148.0,41.0,0.277,221.0,39.0,0.176,5.0,143.0,579.0,522.0,53.0,47.0,6.0,0.0,0.0,.---,0.0,0.0,.---,4.0,0.0,0.0,.---,14.0,4.0,157.0
NO6,0.267,60.0,17.0,131.0,86.0,28.0,0.0,0.348,0.428,0.776,116.0,36.0,0.31,194.0,47.0,0.242,6.0,143.0,562.0,491.0,52.0,57.0,6.0,4.0,1.0,.250,5.0,4.0,.800,3.0,0.0,0.0,.---,4.0,4.0,146.0
NO7,0.234,40.0,11.0,106.0,68.0,25.0,2.0,0.316,0.371,0.687,104.0,19.0,0.183,179.0,49.0,0.274,7.0,143.0,528.0,453.0,41.0,47.0,9.0,10.0,7.0,.700,19.0,15.0,.789,4.0,0.0,0.0,.---,10.0,6.0,111.0
NO8,0.214,41.0,5.0,89.0,69.0,15.0,0.0,0.257,0.286,0.543,122.0,30.0,0.246,168.0,27.0,0.161,2.0,143.0,471.0,416.0,35.0,20.0,5.0,2.0,1.0,.500,33.0,27.0,.818,3.0,0.0,0.0,.---,6.0,4.0,97.0
NO9,0.203,14.0,1.0,85.0,63.0,18.0,3.0,0.258,0.268,0.526,99.0,14.0,0.141,159.0,33.0,0.208,0.0,143.0,473.0,418.0,44.0,30.0,1.0,24.0,17.0,.708,26.0,23.0,.885,1.0,0.0,0.0,.---,2.0,19.0,120.0
