INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,G,PA,AB,R,BB,HBP,SB,SH,SF,DP,EOB,K
NO1,0.329,55,9,162,122,26,5,0.41,0.456,0.866,138,568,493,83,67,3,8,2,3,7,0,69
NO2,0.329,55,9,162,122,26,5,0.41,0.456,0.866,138,568,493,83,67,3,8,2,3,7,0,69
NO3,0.329,55,9,162,122,26,5,0.41,0.456,0.866,138,568,493,83,67,3,8,2,3,7,0,69
NO4,0.329,55,9,162,122,26,5,0.41,0.456,0.866,138,568,493,83,67,3,8,2,3,7,0,69
NO5,0.329,55,9,162,122,26,5,0.41,0.456,0.866,138,568,493,83,67,3,8,2,3,7,0,69
NO6,0.329,55,9,162,122,26,5,0.41,0.456,0.866,138,568,493,83,67,3,8,2,3,7,0,69
NO7,0.329,55,9,162,122,26,5,0.41,0.456,0.866,138,568,493,83,67,3,8,2,3,7,0,69
NO8,0.329,55,9,162,122,26,5,0.41,0.456,0.866,138,568,493,83,67,3,8,2,3,7,0,69
NO9,0.329,55,9,162,122,26,5,0.41,0.456,0.866,138,568,493,83,67,3,8,2,3,7,0,69
