INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.274,42.0,6.0,152.0,125.0,20.0,1.0,0.373,0.346,0.719,91.0,25.0,0.275,298.0,85.0,0.285,3.0,143.0,652.0,555.0,73.0,89.0,1.0,19.0,11.0,.579,3.0,3.0,1.000,4.0,0.0,0.0,.---,6.0,13.0,78.0
NO2,0.252,26.0,2.0,123.0,109.0,11.0,1.0,0.326,0.29,0.616,95.0,22.0,0.232,240.0,69.0,0.288,0.0,143.0,605.0,489.0,55.0,48.0,6.0,29.0,17.0,.586,70.0,62.0,.886,0.0,0.0,0.0,.---,6.0,16.0,84.0
NO3,0.258,70.0,14.0,143.0,103.0,22.0,4.0,0.329,0.388,0.717,166.0,44.0,0.265,295.0,70.0,0.237,11.0,143.0,623.0,554.0,54.0,58.0,3.0,8.0,4.0,.500,3.0,3.0,1.000,5.0,0.0,0.0,.---,22.0,3.0,81.0
NO4,0.279,70.0,15.0,145.0,102.0,28.0,0.0,0.375,0.42,0.795,158.0,44.0,0.278,269.0,70.0,0.26,6.0,143.0,602.0,519.0,47.0,74.0,7.0,1.0,0.0,.000,0.0,0.0,.---,2.0,0.0,0.0,.---,15.0,11.0,120.0
NO5,0.277,69.0,16.0,151.0,102.0,31.0,2.0,0.315,0.429,0.744,155.0,35.0,0.226,261.0,77.0,0.295,8.0,143.0,587.0,546.0,48.0,33.0,1.0,1.0,0.0,.000,0.0,0.0,.---,7.0,0.0,0.0,.---,17.0,4.0,96.0
NO6,0.246,41.0,10.0,123.0,95.0,18.0,0.0,0.317,0.341,0.658,122.0,31.0,0.254,226.0,58.0,0.257,4.0,143.0,559.0,501.0,41.0,51.0,2.0,4.0,3.0,.750,5.0,4.0,.800,1.0,0.0,0.0,.---,5.0,7.0,100.0
NO7,0.247,43.0,7.0,112.0,76.0,26.0,3.0,0.309,0.363,0.672,108.0,23.0,0.213,207.0,51.0,0.246,5.0,143.0,504.0,454.0,44.0,35.0,7.0,7.0,3.0,.429,5.0,5.0,1.000,3.0,0.0,0.0,.---,0.0,3.0,135.0
NO8,0.205,27.0,4.0,81.0,60.0,15.0,2.0,0.281,0.284,0.564,89.0,19.0,0.213,183.0,36.0,0.197,4.0,143.0,453.0,395.0,34.0,40.0,2.0,1.0,0.0,.000,16.0,15.0,.938,1.0,0.0,0.0,.---,7.0,6.0,89.0
NO9,0.122,12.0,0.0,36.0,31.0,4.0,1.0,0.136,0.142,0.279,82.0,12.0,0.146,141.0,21.0,0.149,0.0,143.0,333.0,295.0,10.0,5.0,0.0,0.0,0.0,.---,53.0,32.0,.604,1.0,0.0,0.0,.---,8.0,8.0,122.0
