INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.333,40.0,5.0,191.0,162.0,23.0,1.0,0.413,0.403,0.816,111.0,33.0,0.297,274.0,97.0,0.354,3.0,143.0,664.0,573.0,95.0,70.0,8.0,38.0,31.0,0.816,13.0,12.0,.923,1.0,0.0,0.0,.---,4.0,6.0,119.0
NO2,0.251,55.0,4.0,126.0,95.0,24.0,3.0,0.33,0.335,0.666,131.0,38.0,0.29,232.0,63.0,0.272,0.0,143.0,637.0,501.0,72.0,57.0,3.0,31.0,19.0,0.613,74.0,74.0,1.000,2.0,0.0,0.0,.---,7.0,6.0,112.0
NO3,0.284,91.0,16.0,155.0,113.0,26.0,0.0,0.378,0.42,0.798,200.0,63.0,0.315,258.0,75.0,0.291,8.0,143.0,640.0,545.0,74.0,78.0,8.0,18.0,14.0,0.778,3.0,2.0,.667,7.0,0.0,0.0,.---,8.0,3.0,116.0
NO4,0.25,111.0,25.0,144.0,92.0,26.0,1.0,0.31,0.43,0.74,199.0,53.0,0.266,255.0,65.0,0.255,12.0,143.0,632.0,575.0,62.0,48.0,4.0,3.0,2.0,0.667,0.0,0.0,.---,5.0,0.0,0.0,.---,14.0,8.0,127.0
NO5,0.272,55.0,10.0,146.0,122.0,11.0,3.0,0.357,0.36,0.717,139.0,35.0,0.252,224.0,63.0,0.281,4.0,143.0,611.0,536.0,69.0,69.0,3.0,24.0,18.0,0.75,1.0,1.0,1.000,2.0,0.0,0.0,.---,9.0,10.0,90.0
NO6,0.267,72.0,28.0,142.0,91.0,23.0,0.0,0.314,0.468,0.782,115.0,28.0,0.243,217.0,55.0,0.253,12.0,143.0,587.0,532.0,67.0,35.0,4.0,7.0,5.0,0.714,11.0,11.0,1.000,5.0,0.0,0.0,.---,20.0,8.0,133.0
NO7,0.252,67.0,19.0,127.0,94.0,13.0,1.0,0.316,0.395,0.711,128.0,34.0,0.266,196.0,52.0,0.265,6.0,143.0,563.0,504.0,62.0,46.0,1.0,14.0,13.0,0.929,15.0,12.0,.800,0.0,0.0,0.0,.---,8.0,7.0,129.0
NO8,0.225,41.0,6.0,91.0,70.0,15.0,0.0,0.305,0.306,0.612,97.0,24.0,0.247,142.0,25.0,0.176,1.0,143.0,489.0,405.0,38.0,34.0,14.0,2.0,2.0,1.0,36.0,34.0,.944,2.0,0.0,0.0,.---,4.0,7.0,89.0
NO9,0.24,31.0,3.0,104.0,89.0,10.0,2.0,0.326,0.293,0.619,124.0,26.0,0.21,154.0,41.0,0.266,0.0,143.0,519.0,433.0,53.0,51.0,5.0,25.0,21.0,0.84,28.0,28.0,1.000,2.0,0.0,0.0,.---,4.0,8.0,123.0
