INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.264,35.0,6.0,151.0,112.0,28.0,5.0,0.354,0.362,0.716,105.0,19.0,0.181,277.0,66.0,0.238,3.0,144.0,663.0,572.0,89.0,72.0,9.0,35.0,22.0,0.629,8.0,8.0,1.000,2.0,0.0,0.0,.---,7.0,16.0,109.0
NO2,0.256,33.0,2.0,136.0,111.0,22.0,1.0,0.311,0.312,0.623,104.0,27.0,0.26,257.0,67.0,0.261,2.0,144.0,626.0,532.0,72.0,38.0,5.0,17.0,11.0,0.647,52.0,50.0,.962,1.0,0.0,0.0,.---,10.0,7.0,67.0
NO3,0.316,74.0,8.0,172.0,134.0,28.0,2.0,0.41,0.418,0.828,166.0,59.0,0.355,274.0,81.0,0.296,4.0,144.0,639.0,545.0,96.0,88.0,2.0,16.0,10.0,0.625,0.0,0.0,.---,4.0,0.0,0.0,.---,14.0,5.0,79.0
NO4,0.281,109.0,26.0,152.0,94.0,30.0,2.0,0.366,0.488,0.854,168.0,54.0,0.321,248.0,70.0,0.282,14.0,144.0,620.0,541.0,81.0,67.0,8.0,1.0,1.0,1.0,0.0,0.0,.---,4.0,0.0,0.0,.---,17.0,10.0,169.0
NO5,0.339,85.0,14.0,182.0,136.0,32.0,0.0,0.396,0.477,0.872,133.0,45.0,0.338,237.0,84.0,0.354,8.0,144.0,599.0,537.0,57.0,49.0,6.0,7.0,2.0,0.286,0.0,0.0,.---,7.0,0.0,0.0,.---,19.0,7.0,66.0
NO6,0.273,66.0,14.0,136.0,102.0,20.0,0.0,0.342,0.397,0.739,149.0,45.0,0.302,214.0,61.0,0.285,8.0,144.0,565.0,499.0,42.0,49.0,5.0,3.0,2.0,0.667,10.0,10.0,1.000,2.0,0.0,0.0,.---,14.0,8.0,93.0
NO7,0.252,38.0,6.0,119.0,92.0,20.0,1.0,0.303,0.337,0.64,128.0,26.0,0.203,191.0,46.0,0.241,2.0,144.0,522.0,472.0,42.0,35.0,2.0,4.0,2.0,0.5,9.0,7.0,.778,6.0,0.0,0.0,.---,14.0,5.0,82.0
NO8,0.197,33.0,6.0,83.0,61.0,14.0,2.0,0.241,0.282,0.523,104.0,18.0,0.173,171.0,30.0,0.175,1.0,144.0,459.0,422.0,31.0,23.0,3.0,2.0,1.0,0.5,9.0,7.0,.778,4.0,0.0,0.0,.---,12.0,7.0,100.0
NO9,0.142,20.0,2.0,41.0,30.0,8.0,1.0,0.173,0.197,0.371,66.0,12.0,0.182,112.0,13.0,0.116,0.0,144.0,325.0,289.0,14.0,9.0,2.0,1.0,0.0,0.0,48.0,25.0,.521,0.0,0.0,0.0,.---,6.0,13.0,140.0
