INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.316,72.0,20.0,182.0,128.0,30.0,4.0,0.386,0.486,0.872,105.0,38.0,0.362,265.0,80.0,0.302,10.0,143.0,644.0,576.0,97.0,64.0,2.0,19.0,11.0,.579,1.0,1.0,1.000,1.0,0.0,0.0,.---,5.0,8.0,111.0
NO2,0.266,47.0,9.0,148.0,103.0,26.0,10.0,0.322,0.397,0.719,92.0,31.0,0.337,241.0,63.0,0.261,3.0,143.0,626.0,556.0,81.0,39.0,7.0,24.0,19.0,.792,31.0,23.0,.742,1.0,0.0,0.0,.---,8.0,7.0,112.0
NO3,0.278,96.0,24.0,159.0,101.0,34.0,0.0,0.337,0.464,0.801,165.0,49.0,0.297,248.0,57.0,0.23,7.0,143.0,626.0,571.0,78.0,46.0,6.0,6.0,5.0,.833,0.0,0.0,.---,3.0,0.0,0.0,.---,15.0,6.0,118.0
NO4,0.284,88.0,30.0,150.0,95.0,25.0,0.0,0.376,0.501,0.877,153.0,45.0,0.294,231.0,69.0,0.299,14.0,143.0,611.0,529.0,74.0,79.0,1.0,2.0,0.0,.000,0.0,0.0,.---,2.0,0.0,0.0,.---,10.0,9.0,104.0
NO5,0.281,74.0,24.0,154.0,108.0,22.0,0.0,0.327,0.452,0.779,135.0,35.0,0.259,219.0,60.0,0.274,6.0,143.0,591.0,549.0,71.0,33.0,6.0,2.0,2.0,1.000,3.0,1.0,.333,2.0,0.0,0.0,.---,12.0,5.0,113.0
NO6,0.278,89.0,27.0,144.0,92.0,25.0,0.0,0.35,0.483,0.833,121.0,41.0,0.339,191.0,50.0,0.262,10.0,143.0,577.0,518.0,59.0,57.0,1.0,7.0,5.0,.714,0.0,0.0,.---,1.0,0.0,0.0,.---,11.0,3.0,108.0
NO7,0.249,42.0,7.0,127.0,94.0,24.0,2.0,0.307,0.344,0.651,134.0,25.0,0.187,173.0,42.0,0.243,2.0,143.0,561.0,511.0,52.0,41.0,3.0,8.0,6.0,.750,5.0,4.0,.800,2.0,0.0,0.0,.---,17.0,12.0,111.0
NO8,0.222,36.0,6.0,90.0,71.0,13.0,0.0,0.31,0.298,0.608,89.0,21.0,0.236,136.0,29.0,0.213,3.0,143.0,479.0,406.0,40.0,48.0,5.0,0.0,0.0,.---,24.0,18.0,.750,2.0,0.0,0.0,.---,9.0,7.0,95.0
NO9,0.102,15.0,1.0,29.0,21.0,7.0,0.0,0.121,0.138,0.259,71.0,8.0,0.113,111.0,13.0,0.117,1.0,143.0,328.0,283.0,15.0,6.0,0.0,0.0,0.0,.---,54.0,39.0,.722,0.0,0.0,0.0,.---,7.0,2.0,128.0
