INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.261,32.0,7.0,153.0,124.0,18.0,4.0,0.314,0.341,0.656,94.0,22.0,0.234,341.0,86.0,0.252,5.0,143.0,647.0,586.0,71.0,38.0,9.0,27.0,18.0,0.667,12.0,11.0,.917,3.0,0.0,0.0,.---,4.0,5.0,74.0
NO2,0.249,23.0,2.0,133.0,113.0,16.0,2.0,0.299,0.298,0.597,89.0,22.0,0.247,321.0,82.0,0.255,1.0,143.0,609.0,534.0,52.0,36.0,3.0,29.0,20.0,0.69,36.0,34.0,.944,2.0,0.0,0.0,.---,5.0,9.0,76.0
NO3,0.283,47.0,7.0,155.0,113.0,33.0,2.0,0.359,0.389,0.749,148.0,38.0,0.257,319.0,86.0,0.27,5.0,143.0,620.0,547.0,63.0,60.0,6.0,16.0,11.0,0.688,6.0,5.0,.833,2.0,0.0,0.0,.---,7.0,12.0,94.0
NO4,0.28,69.0,9.0,149.0,115.0,21.0,4.0,0.361,0.385,0.747,160.0,49.0,0.306,300.0,86.0,0.287,6.0,143.0,609.0,532.0,69.0,67.0,4.0,13.0,11.0,0.846,0.0,0.0,.---,6.0,0.0,0.0,.---,14.0,10.0,100.0
NO5,0.273,42.0,5.0,136.0,105.0,26.0,0.0,0.346,0.355,0.701,148.0,31.0,0.209,264.0,70.0,0.265,2.0,143.0,562.0,499.0,49.0,52.0,5.0,4.0,4.0,1.0,4.0,4.0,1.000,2.0,0.0,0.0,.---,13.0,5.0,86.0
NO6,0.282,69.0,15.0,150.0,107.0,25.0,3.0,0.327,0.425,0.752,132.0,38.0,0.288,269.0,81.0,0.301,8.0,143.0,584.0,532.0,50.0,35.0,2.0,5.0,2.0,0.4,12.0,12.0,1.000,2.0,0.0,0.0,.---,15.0,11.0,122.0
NO7,0.253,51.0,9.0,127.0,96.0,20.0,2.0,0.312,0.355,0.667,133.0,30.0,0.226,242.0,55.0,0.227,6.0,143.0,559.0,501.0,42.0,43.0,2.0,10.0,9.0,0.9,9.0,8.0,.889,5.0,0.0,0.0,.---,11.0,9.0,118.0
NO8,0.195,32.0,6.0,83.0,66.0,10.0,1.0,0.231,0.265,0.496,120.0,26.0,0.217,206.0,43.0,0.209,1.0,143.0,460.0,426.0,23.0,16.0,4.0,7.0,4.0,0.571,17.0,14.0,.824,0.0,0.0,0.0,.---,10.0,11.0,112.0
NO9,0.114,11.0,4.0,31.0,23.0,4.0,0.0,0.149,0.173,0.322,66.0,10.0,0.152,140.0,11.0,0.079,3.0,143.0,302.0,271.0,15.0,11.0,0.0,1.0,1.0,1.0,30.0,20.0,.667,0.0,0.0,0.0,.---,1.0,5.0,117.0
