INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.269,53.0,20.0,154.0,105.0,28.0,1.0,0.348,0.427,0.774,96.0,22.0,0.229,304.0,86.0,0.283,7.0,143.0,649.0,572.0,103.0,59.0,10.0,23.0,20.0,.870,10.0,8.0,.800,0.0,0.0,0.0,.---,8.0,1.0,103.0
NO2,0.292,48.0,6.0,154.0,124.0,21.0,3.0,0.351,0.377,0.728,113.0,39.0,0.345,272.0,76.0,0.279,2.0,143.0,601.0,528.0,76.0,49.0,1.0,18.0,11.0,.611,19.0,19.0,1.000,3.0,0.0,0.0,.---,11.0,7.0,76.0
NO3,0.33,88.0,23.0,184.0,126.0,33.0,2.0,0.396,0.52,0.916,144.0,43.0,0.299,284.0,89.0,0.313,8.0,143.0,628.0,558.0,93.0,62.0,3.0,25.0,22.0,.880,0.0,0.0,.---,5.0,0.0,0.0,.---,14.0,13.0,90.0
NO4,0.253,94.0,14.0,139.0,94.0,31.0,0.0,0.316,0.385,0.701,170.0,50.0,0.294,271.0,70.0,0.258,4.0,143.0,614.0,550.0,56.0,53.0,2.0,4.0,2.0,.500,0.0,0.0,.---,9.0,0.0,0.0,.---,13.0,11.0,92.0
NO5,0.274,70.0,21.0,144.0,91.0,30.0,2.0,0.341,0.458,0.799,146.0,41.0,0.281,233.0,69.0,0.296,8.0,143.0,583.0,526.0,62.0,49.0,5.0,9.0,5.0,.556,2.0,2.0,1.000,1.0,0.0,0.0,.---,6.0,5.0,100.0
NO6,0.231,54.0,9.0,112.0,79.0,23.0,1.0,0.299,0.339,0.637,121.0,31.0,0.256,207.0,46.0,0.222,6.0,143.0,542.0,484.0,45.0,41.0,7.0,12.0,8.0,.667,7.0,6.0,.857,4.0,0.0,0.0,.---,9.0,8.0,83.0
NO7,0.253,41.0,5.0,118.0,86.0,24.0,3.0,0.317,0.349,0.666,106.0,23.0,0.217,197.0,44.0,0.223,3.0,143.0,521.0,467.0,34.0,43.0,2.0,7.0,5.0,.714,8.0,7.0,.875,2.0,0.0,0.0,.---,9.0,6.0,90.0
NO8,0.212,35.0,3.0,98.0,81.0,14.0,0.0,0.278,0.261,0.54,122.0,29.0,0.238,187.0,34.0,0.182,0.0,143.0,527.0,463.0,38.0,40.0,4.0,3.0,2.0,.667,18.0,17.0,.944,3.0,0.0,0.0,.---,8.0,11.0,88.0
NO9,0.149,16.0,3.0,36.0,31.0,2.0,0.0,0.192,0.195,0.387,52.0,10.0,0.192,109.0,15.0,0.138,1.0,143.0,285.0,241.0,15.0,13.0,0.0,0.0,0.0,.---,47.0,30.0,.638,1.0,0.0,0.0,.---,8.0,5.0,104.0
