INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.265,39.0,13.0,154.0,121.0,17.0,3.0,0.365,0.371,0.737,106.0,27.0,0.255,291.0,72.0,0.247,5.0,143.0,679.0,582.0,101.0,76.0,17.0,46.0,28.0,.609,4.0,3.0,.750,1.0,0.0,0.0,.---,1.0,18.0,121.0
NO2,0.31,56.0,13.0,181.0,142.0,23.0,3.0,0.355,0.427,0.782,99.0,34.0,0.343,297.0,90.0,0.303,7.0,143.0,652.0,583.0,94.0,42.0,0.0,18.0,13.0,.722,28.0,24.0,.857,3.0,0.0,0.0,.---,3.0,4.0,109.0
NO3,0.291,90.0,20.0,162.0,104.0,30.0,8.0,0.389,0.481,0.87,148.0,41.0,0.277,278.0,90.0,0.324,5.0,143.0,652.0,557.0,98.0,84.0,7.0,32.0,23.0,.719,1.0,1.0,1.000,3.0,0.0,0.0,.---,9.0,2.0,107.0
NO4,0.282,98.0,14.0,155.0,114.0,25.0,2.0,0.349,0.411,0.76,180.0,53.0,0.294,255.0,69.0,0.271,5.0,143.0,613.0,550.0,76.0,58.0,1.0,6.0,6.0,1.000,0.0,0.0,.---,4.0,0.0,0.0,.---,12.0,15.0,111.0
NO5,0.312,94.0,37.0,162.0,102.0,20.0,3.0,0.381,0.576,0.957,141.0,38.0,0.27,223.0,69.0,0.309,14.0,143.0,586.0,519.0,92.0,56.0,5.0,11.0,5.0,.455,0.0,0.0,.---,6.0,0.0,0.0,.---,12.0,4.0,123.0
NO6,0.327,113.0,30.0,171.0,106.0,30.0,5.0,0.394,0.576,0.969,145.0,53.0,0.366,212.0,68.0,0.321,11.0,143.0,587.0,523.0,76.0,56.0,3.0,14.0,10.0,.714,4.0,3.0,.750,2.0,0.0,0.0,.---,11.0,5.0,80.0
NO7,0.273,59.0,10.0,127.0,87.0,25.0,5.0,0.338,0.413,0.751,125.0,32.0,0.256,173.0,50.0,0.289,4.0,143.0,526.0,465.0,39.0,47.0,2.0,12.0,12.0,1.000,7.0,6.0,.857,6.0,0.0,0.0,.---,14.0,9.0,105.0
NO8,0.23,43.0,7.0,97.0,74.0,16.0,0.0,0.309,0.318,0.628,120.0,28.0,0.233,165.0,37.0,0.224,3.0,143.0,485.0,421.0,37.0,41.0,8.0,7.0,5.0,.714,14.0,13.0,.929,2.0,0.0,0.0,.---,15.0,3.0,85.0
NO9,0.105,13.0,0.0,30.0,27.0,3.0,0.0,0.126,0.115,0.242,88.0,10.0,0.114,108.0,12.0,0.111,0.0,143.0,328.0,286.0,9.0,7.0,0.0,0.0,0.0,.---,43.0,35.0,.814,0.0,0.0,0.0,.---,2.0,3.0,121.0
