INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.245,50.0,13.0,134.0,93.0,23.0,5.0,0.347,0.377,0.725,121.0,27.0,0.223,261.0,66.0,0.253,8.0,143.0,642.0,546.0,91.0,83.0,4.0,37.0,33.0,0.892,6.0,6.0,1.000,3.0,0.0,0.0,.---,3.0,3.0,119.0
NO2,0.278,78.0,14.0,153.0,102.0,32.0,5.0,0.362,0.43,0.792,137.0,45.0,0.328,267.0,82.0,0.307,11.0,143.0,633.0,551.0,84.0,63.0,11.0,23.0,19.0,0.826,7.0,6.0,.857,2.0,0.0,0.0,.---,15.0,4.0,121.0
NO3,0.318,77.0,14.0,168.0,119.0,31.0,4.0,0.415,0.471,0.886,163.0,52.0,0.319,252.0,90.0,0.357,7.0,143.0,624.0,529.0,63.0,89.0,2.0,6.0,5.0,0.833,0.0,0.0,.---,4.0,0.0,0.0,.---,15.0,5.0,107.0
NO4,0.265,109.0,26.0,147.0,89.0,32.0,0.0,0.315,0.463,0.778,155.0,46.0,0.297,234.0,58.0,0.248,7.0,143.0,616.0,555.0,65.0,44.0,3.0,1.0,0.0,0.0,0.0,0.0,.---,14.0,0.0,0.0,.---,24.0,3.0,87.0
NO5,0.227,71.0,26.0,122.0,78.0,17.0,1.0,0.301,0.407,0.708,132.0,27.0,0.205,218.0,44.0,0.202,10.0,143.0,601.0,538.0,59.0,51.0,8.0,1.0,0.0,0.0,0.0,0.0,.---,4.0,0.0,0.0,.---,9.0,7.0,162.0
NO6,0.241,63.0,21.0,120.0,75.0,19.0,5.0,0.327,0.426,0.753,110.0,24.0,0.218,188.0,43.0,0.229,8.0,143.0,569.0,498.0,54.0,55.0,10.0,5.0,2.0,0.4,5.0,4.0,.800,2.0,0.0,0.0,.---,14.0,6.0,122.0
NO7,0.23,35.0,11.0,103.0,79.0,13.0,0.0,0.29,0.333,0.624,93.0,22.0,0.237,161.0,38.0,0.236,5.0,143.0,499.0,447.0,43.0,30.0,9.0,3.0,3.0,1.0,12.0,10.0,.833,3.0,0.0,0.0,.---,11.0,10.0,114.0
NO8,0.221,35.0,10.0,89.0,58.0,20.0,1.0,0.287,0.35,0.637,86.0,21.0,0.244,136.0,26.0,0.191,2.0,143.0,469.0,403.0,40.0,32.0,6.0,6.0,4.0,0.667,29.0,26.0,.897,2.0,0.0,0.0,.---,6.0,7.0,92.0
NO9,0.244,28.0,3.0,102.0,88.0,8.0,3.0,0.309,0.299,0.608,104.0,22.0,0.212,146.0,35.0,0.24,1.0,143.0,482.0,418.0,53.0,39.0,1.0,32.0,27.0,0.844,26.0,23.0,.885,1.0,0.0,0.0,.---,5.0,17.0,102.0
