INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.255,27.0,7.0,153.0,122.0,22.0,2.0,0.315,0.333,0.648,99.0,19.0,0.192,313.0,69.0,0.22,2.0,144.0,662.0,600.0,79.0,46.0,7.0,31.0,21.0,.677,9.0,7.0,.778,2.0,0.0,0.0,.---,3.0,3.0,98.0
NO2,0.25,37.0,7.0,129.0,105.0,17.0,0.0,0.303,0.324,0.628,110.0,18.0,0.164,270.0,69.0,0.256,3.0,144.0,600.0,515.0,65.0,38.0,2.0,23.0,15.0,.652,47.0,43.0,.915,2.0,0.0,0.0,.---,12.0,11.0,79.0
NO3,0.288,77.0,25.0,155.0,103.0,25.0,2.0,0.372,0.481,0.852,132.0,38.0,0.288,300.0,79.0,0.263,16.0,144.0,618.0,539.0,80.0,69.0,5.0,3.0,3.0,1.000,2.0,2.0,1.000,3.0,0.0,0.0,.---,11.0,9.0,117.0
NO4,0.294,75.0,15.0,155.0,112.0,26.0,2.0,0.372,0.436,0.808,132.0,41.0,0.311,284.0,86.0,0.303,8.0,144.0,600.0,527.0,71.0,66.0,2.0,4.0,3.0,.750,0.0,0.0,.---,5.0,0.0,0.0,.---,22.0,14.0,76.0
NO5,0.29,85.0,21.0,153.0,103.0,26.0,3.0,0.368,0.47,0.838,135.0,44.0,0.326,269.0,79.0,0.294,9.0,144.0,599.0,528.0,72.0,62.0,5.0,3.0,1.0,.333,1.0,1.0,1.000,3.0,0.0,0.0,.---,19.0,6.0,88.0
NO6,0.246,68.0,16.0,122.0,75.0,28.0,3.0,0.33,0.411,0.742,121.0,30.0,0.248,229.0,56.0,0.245,7.0,144.0,569.0,496.0,44.0,57.0,8.0,3.0,1.0,.333,4.0,3.0,.750,5.0,0.0,0.0,.---,19.0,4.0,87.0
NO7,0.2,46.0,8.0,94.0,70.0,15.0,1.0,0.262,0.287,0.549,118.0,26.0,0.22,214.0,44.0,0.206,3.0,144.0,528.0,471.0,34.0,39.0,3.0,0.0,0.0,.---,11.0,9.0,.818,6.0,0.0,0.0,.---,17.0,7.0,90.0
NO8,0.22,39.0,5.0,95.0,77.0,13.0,0.0,0.292,0.285,0.577,87.0,27.0,0.31,192.0,45.0,0.234,1.0,144.0,489.0,432.0,21.0,43.0,3.0,3.0,2.0,.667,8.0,6.0,.750,5.0,0.0,0.0,.---,10.0,4.0,82.0
NO9,0.096,8.0,1.0,23.0,18.0,4.0,0.0,0.153,0.126,0.278,70.0,6.0,0.086,122.0,13.0,0.107,0.0,144.0,271.0,239.0,10.0,16.0,0.0,1.0,0.0,.000,29.0,16.0,.552,0.0,0.0,0.0,.---,6.0,8.0,123.0
