INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.284,48.0,5.0,167.0,125.0,33.0,4.0,0.347,0.379,0.725,124.0,34.0,0.274,323.0,86.0,0.266,3.0,144.0,652.0,589.0,70.0,58.0,1.0,17.0,12.0,.706,0.0,0.0,.---,4.0,0.0,0.0,.---,8.0,9.0,84.0
NO2,0.266,33.0,1.0,140.0,122.0,12.0,5.0,0.329,0.313,0.642,101.0,26.0,0.257,282.0,70.0,0.248,1.0,144.0,630.0,527.0,71.0,41.0,9.0,35.0,24.0,.686,60.0,52.0,.867,1.0,0.0,0.0,.---,3.0,4.0,62.0
NO3,0.293,63.0,11.0,160.0,113.0,33.0,3.0,0.393,0.425,0.818,160.0,42.0,0.263,300.0,86.0,0.287,6.0,144.0,644.0,546.0,73.0,89.0,4.0,20.0,13.0,.650,1.0,1.0,1.000,4.0,0.0,0.0,.---,12.0,4.0,59.0
NO4,0.303,88.0,16.0,169.0,117.0,34.0,2.0,0.369,0.458,0.827,178.0,49.0,0.275,289.0,81.0,0.28,7.0,144.0,621.0,557.0,55.0,59.0,1.0,9.0,9.0,1.000,0.0,0.0,.---,4.0,0.0,0.0,.---,23.0,5.0,81.0
NO5,0.228,78.0,16.0,119.0,78.0,25.0,0.0,0.311,0.367,0.678,160.0,40.0,0.25,254.0,60.0,0.236,11.0,144.0,599.0,523.0,64.0,65.0,2.0,5.0,1.0,.200,1.0,1.0,1.000,8.0,0.0,0.0,.---,20.0,7.0,116.0
NO6,0.264,51.0,12.0,129.0,95.0,21.0,1.0,0.331,0.384,0.716,118.0,35.0,0.297,237.0,64.0,0.27,7.0,144.0,548.0,489.0,40.0,48.0,3.0,9.0,4.0,.444,7.0,5.0,.714,3.0,0.0,0.0,.---,14.0,6.0,103.0
NO7,0.224,46.0,12.0,103.0,70.0,20.0,1.0,0.302,0.35,0.652,106.0,26.0,0.245,218.0,46.0,0.211,3.0,144.0,518.0,460.0,43.0,46.0,6.0,8.0,4.0,.500,5.0,5.0,1.000,1.0,0.0,0.0,.---,8.0,13.0,124.0
NO8,0.266,32.0,3.0,115.0,99.0,12.0,1.0,0.307,0.319,0.625,101.0,25.0,0.248,185.0,45.0,0.243,2.0,144.0,479.0,433.0,33.0,26.0,1.0,1.0,1.0,1.000,18.0,16.0,.889,3.0,0.0,0.0,.---,8.0,3.0,78.0
NO9,0.14,17.0,2.0,41.0,29.0,10.0,0.0,0.174,0.195,0.368,70.0,13.0,0.186,141.0,22.0,0.156,0.0,144.0,329.0,293.0,13.0,12.0,0.0,0.0,0.0,.---,41.0,24.0,.585,0.0,0.0,0.0,.---,2.0,6.0,124.0
