INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.284,25.0,3.0,171.0,134.0,25.0,9.0,0.337,0.37,0.707,115.0,24.0,0.209,313.0,85.0,0.272,2.0,143.0,657.0,603.0,76.0,43.0,6.0,38.0,26.0,.684,4.0,4.0,1.000,1.0,0.0,0.0,.---,3.0,4.0,73.0
NO2,0.237,40.0,3.0,128.0,101.0,22.0,2.0,0.289,0.302,0.591,126.0,32.0,0.254,281.0,70.0,0.249,2.0,143.0,611.0,540.0,55.0,39.0,2.0,19.0,16.0,.842,30.0,27.0,.900,3.0,0.0,0.0,.---,14.0,5.0,95.0
NO3,0.236,70.0,14.0,127.0,89.0,22.0,2.0,0.32,0.362,0.682,152.0,42.0,0.276,275.0,70.0,0.255,8.0,143.0,614.0,539.0,67.0,61.0,8.0,2.0,2.0,1.000,2.0,2.0,1.000,4.0,0.0,0.0,.---,8.0,8.0,115.0
NO4,0.274,80.0,25.0,147.0,94.0,28.0,0.0,0.351,0.466,0.817,140.0,33.0,0.236,256.0,66.0,0.258,10.0,143.0,604.0,536.0,74.0,57.0,8.0,1.0,1.0,1.000,0.0,0.0,.---,3.0,0.0,0.0,.---,16.0,12.0,86.0
NO5,0.258,58.0,11.0,131.0,90.0,30.0,0.0,0.328,0.382,0.71,128.0,38.0,0.297,244.0,57.0,0.234,4.0,143.0,568.0,508.0,53.0,53.0,2.0,8.0,3.0,.375,1.0,1.0,1.000,4.0,0.0,0.0,.---,11.0,5.0,100.0
NO6,0.253,50.0,10.0,126.0,89.0,26.0,1.0,0.308,0.369,0.677,113.0,26.0,0.23,227.0,48.0,0.211,4.0,143.0,553.0,499.0,47.0,38.0,3.0,2.0,1.0,.500,13.0,11.0,.846,2.0,0.0,0.0,.---,14.0,4.0,118.0
NO7,0.255,57.0,11.0,127.0,92.0,21.0,3.0,0.304,0.375,0.678,125.0,31.0,0.248,223.0,55.0,0.247,4.0,143.0,551.0,499.0,43.0,33.0,4.0,3.0,1.0,.333,14.0,11.0,.786,4.0,0.0,0.0,.---,14.0,12.0,88.0
NO8,0.229,35.0,7.0,96.0,71.0,16.0,2.0,0.299,0.327,0.626,92.0,23.0,0.25,183.0,44.0,0.24,3.0,143.0,478.0,419.0,28.0,37.0,5.0,5.0,3.0,.600,17.0,16.0,.941,1.0,0.0,0.0,.---,12.0,7.0,96.0
NO9,0.116,12.0,1.0,31.0,23.0,7.0,0.0,0.14,0.153,0.293,66.0,6.0,0.091,128.0,10.0,0.078,0.0,143.0,305.0,268.0,9.0,8.0,0.0,0.0,0.0,.---,46.0,27.0,.587,2.0,0.0,0.0,.---,4.0,3.0,130.0
