INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.296,64.0,17.0,174.0,119.0,38.0,0.0,0.344,0.447,0.791,115.0,39.0,0.339,323.0,101.0,0.313,11.0,144.0,638.0,588.0,83.0,42.0,2.0,30.0,25.0,.833,4.0,4.0,1.0,2.0,0.0,0.0,.---,9.0,10.0,98.0
NO2,0.242,44.0,6.0,130.0,105.0,18.0,1.0,0.295,0.312,0.607,119.0,37.0,0.311,271.0,76.0,0.28,4.0,144.0,614.0,538.0,63.0,38.0,3.0,27.0,21.0,.778,37.0,34.0,0.919,1.0,0.0,0.0,.---,12.0,9.0,83.0
NO3,0.287,65.0,14.0,153.0,107.0,32.0,0.0,0.355,0.425,0.78,140.0,46.0,0.329,259.0,74.0,0.286,9.0,144.0,608.0,534.0,66.0,54.0,5.0,13.0,10.0,.769,11.0,10.0,0.909,5.0,0.0,0.0,.---,3.0,8.0,85.0
NO4,0.25,72.0,20.0,129.0,91.0,18.0,0.0,0.336,0.402,0.738,154.0,44.0,0.286,255.0,57.0,0.224,5.0,144.0,586.0,515.0,55.0,57.0,11.0,6.0,3.0,.500,1.0,0.0,0.0,3.0,0.0,0.0,.---,20.0,5.0,94.0
NO5,0.231,83.0,28.0,123.0,81.0,14.0,0.0,0.292,0.415,0.707,138.0,32.0,0.232,243.0,62.0,0.255,13.0,144.0,586.0,533.0,58.0,43.0,5.0,2.0,1.0,.500,1.0,1.0,1.0,4.0,0.0,0.0,.---,16.0,9.0,87.0
NO6,0.27,60.0,16.0,132.0,92.0,23.0,1.0,0.353,0.42,0.773,95.0,30.0,0.316,229.0,67.0,0.293,6.0,144.0,552.0,488.0,52.0,52.0,10.0,8.0,5.0,.625,3.0,2.0,0.667,0.0,0.0,0.0,.---,16.0,4.0,81.0
NO7,0.294,50.0,20.0,143.0,95.0,26.0,2.0,0.353,0.478,0.831,81.0,24.0,0.296,209.0,60.0,0.287,7.0,144.0,549.0,487.0,59.0,42.0,6.0,6.0,5.0,.833,8.0,8.0,1.0,6.0,0.0,0.0,.---,21.0,6.0,79.0
NO8,0.252,45.0,9.0,113.0,87.0,16.0,1.0,0.323,0.352,0.675,95.0,27.0,0.284,192.0,52.0,0.271,2.0,144.0,506.0,449.0,57.0,44.0,4.0,10.0,6.0,.600,9.0,7.0,0.778,2.0,0.0,0.0,.---,14.0,8.0,95.0
NO9,0.132,18.0,1.0,36.0,32.0,2.0,1.0,0.154,0.158,0.311,80.0,15.0,0.188,110.0,15.0,0.136,1.0,144.0,319.0,273.0,13.0,7.0,0.0,0.0,0.0,.---,53.0,39.0,0.736,0.0,0.0,0.0,.---,2.0,5.0,116.0
