INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.278,57.0,16.0,161.0,116.0,27.0,2.0,0.358,0.414,0.772,136.0,35.0,0.257,303.0,91.0,0.3,7.0,144.0,660.0,580.0,92.0,64.0,9.0,54.0,46.0,0.852,7.0,7.0,1.000,0.0,0.0,0.0,.---,9.0,4.0,150.0
NO2,0.253,39.0,2.0,125.0,100.0,21.0,2.0,0.347,0.316,0.663,132.0,35.0,0.265,250.0,67.0,0.268,2.0,144.0,612.0,494.0,60.0,65.0,7.0,26.0,21.0,0.808,50.0,45.0,.900,1.0,0.0,0.0,.---,10.0,18.0,89.0
NO3,0.294,81.0,17.0,159.0,118.0,23.0,1.0,0.367,0.434,0.801,170.0,52.0,0.306,263.0,76.0,0.289,10.0,144.0,619.0,541.0,68.0,62.0,5.0,11.0,7.0,0.636,3.0,3.0,1.000,8.0,0.0,0.0,.---,10.0,7.0,128.0
NO4,0.281,95.0,33.0,155.0,99.0,22.0,1.0,0.358,0.505,0.862,163.0,45.0,0.276,239.0,59.0,0.247,13.0,144.0,623.0,551.0,78.0,61.0,7.0,4.0,2.0,0.5,0.0,0.0,.---,4.0,0.0,0.0,.---,16.0,3.0,111.0
NO5,0.26,59.0,10.0,140.0,97.0,31.0,2.0,0.306,0.381,0.687,138.0,36.0,0.261,217.0,63.0,0.29,7.0,144.0,585.0,538.0,48.0,37.0,1.0,7.0,5.0,0.714,4.0,4.0,1.000,5.0,0.0,0.0,.---,11.0,9.0,105.0
NO6,0.225,51.0,13.0,114.0,81.0,19.0,1.0,0.278,0.343,0.621,113.0,25.0,0.221,204.0,48.0,0.235,6.0,144.0,559.0,507.0,44.0,37.0,2.0,7.0,1.0,0.143,11.0,8.0,.727,5.0,0.0,0.0,.---,7.0,17.0,115.0
NO7,0.229,43.0,4.0,104.0,85.0,15.0,0.0,0.306,0.288,0.594,125.0,30.0,0.24,187.0,42.0,0.225,0.0,144.0,524.0,455.0,35.0,47.0,5.0,8.0,6.0,0.75,17.0,14.0,.824,3.0,0.0,0.0,.---,8.0,11.0,107.0
NO8,0.249,38.0,4.0,105.0,80.0,21.0,0.0,0.309,0.327,0.636,112.0,27.0,0.241,171.0,38.0,0.222,2.0,144.0,483.0,422.0,35.0,32.0,5.0,1.0,1.0,1.0,25.0,23.0,.920,1.0,0.0,0.0,.---,9.0,3.0,79.0
NO9,0.243,23.0,2.0,93.0,81.0,10.0,0.0,0.301,0.285,0.587,99.0,19.0,0.192,143.0,28.0,0.196,2.0,144.0,456.0,382.0,41.0,28.0,5.0,30.0,27.0,0.9,45.0,38.0,.844,3.0,0.0,0.0,.---,6.0,8.0,79.0
