INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.278,54.0,15.0,164.0,116.0,28.0,5.0,0.339,0.419,0.758,119.0,31.0,0.261,289.0,79.0,0.273,5.0,143.0,648.0,589.0,70.0,51.0,3.0,16.0,14.0,.875,4.0,4.0,1.000,1.0,0.0,0.0,.---,5.0,5.0,108.0
NO2,0.277,39.0,8.0,140.0,108.0,23.0,1.0,0.355,0.374,0.729,98.0,26.0,0.265,243.0,61.0,0.251,3.0,143.0,600.0,505.0,76.0,58.0,4.0,23.0,20.0,.870,35.0,31.0,.886,2.0,0.0,0.0,.---,8.0,10.0,85.0
NO3,0.269,84.0,20.0,147.0,99.0,26.0,2.0,0.358,0.434,0.792,144.0,42.0,0.292,273.0,80.0,0.293,9.0,143.0,631.0,546.0,72.0,71.0,8.0,19.0,13.0,.684,1.0,0.0,.000,6.0,0.0,0.0,.---,12.0,5.0,91.0
NO4,0.25,72.0,14.0,128.0,88.0,25.0,1.0,0.353,0.385,0.738,160.0,41.0,0.256,246.0,54.0,0.22,3.0,143.0,601.0,512.0,68.0,80.0,4.0,3.0,1.0,.333,1.0,1.0,1.000,4.0,0.0,0.0,.---,21.0,5.0,117.0
NO5,0.233,82.0,23.0,122.0,72.0,25.0,2.0,0.305,0.421,0.726,146.0,34.0,0.233,230.0,54.0,0.235,11.0,143.0,584.0,523.0,70.0,48.0,8.0,5.0,3.0,.600,2.0,1.0,.500,4.0,0.0,0.0,.---,16.0,5.0,111.0
NO6,0.275,48.0,6.0,138.0,105.0,25.0,2.0,0.37,0.369,0.739,122.0,31.0,0.254,203.0,52.0,0.256,2.0,143.0,583.0,502.0,61.0,77.0,1.0,15.0,7.0,.467,0.0,0.0,.---,3.0,0.0,0.0,.---,13.0,14.0,71.0
NO7,0.273,66.0,10.0,134.0,100.0,22.0,2.0,0.344,0.387,0.731,139.0,35.0,0.252,194.0,53.0,0.273,6.0,143.0,552.0,491.0,48.0,51.0,3.0,6.0,3.0,.500,10.0,5.0,.500,2.0,0.0,0.0,.---,10.0,9.0,82.0
NO8,0.214,52.0,5.0,89.0,68.0,14.0,2.0,0.293,0.293,0.587,121.0,31.0,0.256,148.0,30.0,0.203,2.0,143.0,494.0,416.0,41.0,41.0,7.0,1.0,1.0,1.000,28.0,27.0,.964,3.0,0.0,0.0,.---,4.0,8.0,102.0
NO9,0.118,15.0,3.0,30.0,21.0,6.0,0.0,0.17,0.177,0.347,79.0,11.0,0.139,98.0,11.0,0.112,1.0,143.0,302.0,254.0,17.0,16.0,0.0,0.0,0.0,.---,42.0,31.0,.738,1.0,0.0,0.0,.---,0.0,9.0,106.0
