INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.245,26.0,4.0,141.0,109.0,24.0,4.0,0.312,0.322,0.634,101.0,21.0,0.208,321.0,76.0,0.237,4.0,144.0,640.0,575.0,64.0,49.0,8.0,21.0,16.0,0.762,7.0,6.0,.857,2.0,0.0,0.0,.---,7.0,9.0,103.0
NO2,0.252,31.0,1.0,128.0,112.0,14.0,1.0,0.31,0.29,0.6,94.0,30.0,0.319,282.0,65.0,0.23,0.0,144.0,596.0,507.0,49.0,39.0,4.0,19.0,10.0,0.526,48.0,44.0,.917,2.0,0.0,0.0,.---,4.0,6.0,74.0
NO3,0.25,60.0,7.0,129.0,95.0,21.0,6.0,0.363,0.355,0.718,128.0,35.0,0.273,298.0,74.0,0.248,4.0,144.0,622.0,515.0,56.0,93.0,2.0,18.0,14.0,0.778,5.0,5.0,1.000,7.0,0.0,0.0,.---,13.0,13.0,91.0
NO4,0.252,57.0,11.0,137.0,91.0,35.0,0.0,0.32,0.377,0.697,169.0,35.0,0.207,290.0,68.0,0.234,7.0,144.0,604.0,544.0,58.0,54.0,2.0,4.0,2.0,0.5,1.0,1.0,1.000,3.0,0.0,0.0,.---,11.0,17.0,110.0
NO5,0.256,46.0,8.0,129.0,99.0,21.0,1.0,0.315,0.349,0.664,152.0,28.0,0.184,246.0,58.0,0.236,4.0,144.0,550.0,504.0,38.0,43.0,1.0,5.0,1.0,0.2,0.0,0.0,.---,2.0,0.0,0.0,.---,13.0,2.0,75.0
NO6,0.261,65.0,14.0,130.0,96.0,19.0,1.0,0.31,0.388,0.698,129.0,34.0,0.264,243.0,65.0,0.267,2.0,144.0,541.0,498.0,44.0,33.0,3.0,5.0,2.0,0.4,8.0,6.0,.750,1.0,0.0,0.0,.---,22.0,4.0,91.0
NO7,0.244,49.0,6.0,111.0,83.0,18.0,4.0,0.295,0.341,0.636,104.0,35.0,0.337,220.0,59.0,0.268,3.0,144.0,493.0,455.0,30.0,28.0,5.0,8.0,4.0,0.5,7.0,5.0,.714,0.0,0.0,0.0,.---,9.0,1.0,93.0
NO8,0.214,14.0,2.0,84.0,72.0,10.0,0.0,0.263,0.255,0.518,93.0,14.0,0.151,182.0,34.0,0.187,1.0,144.0,435.0,392.0,19.0,21.0,5.0,1.0,0.0,0.0,19.0,17.0,.895,0.0,0.0,0.0,.---,10.0,7.0,76.0
NO9,0.1,6.0,0.0,28.0,25.0,3.0,0.0,0.134,0.111,0.245,66.0,5.0,0.076,136.0,9.0,0.066,0.0,144.0,314.0,279.0,8.0,11.0,0.0,1.0,1.0,1.0,38.0,23.0,.605,1.0,0.0,0.0,.---,1.0,6.0,139.0
