INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.241,49.0,15.0,138.0,102.0,18.0,3.0,0.318,0.362,0.68,100.0,26.0,0.26,286.0,59.0,0.206,7.0,143.0,645.0,572.0,76.0,57.0,8.0,12.0,8.0,.667,7.0,7.0,1.0,1.0,0.0,0.0,.---,7.0,4.0,133.0
NO2,0.266,46.0,9.0,147.0,109.0,27.0,2.0,0.319,0.371,0.691,90.0,28.0,0.311,287.0,77.0,0.268,6.0,143.0,615.0,552.0,70.0,42.0,2.0,17.0,10.0,.588,19.0,17.0,0.895,2.0,0.0,0.0,.---,17.0,6.0,112.0
NO3,0.283,60.0,16.0,153.0,106.0,31.0,0.0,0.368,0.429,0.797,122.0,35.0,0.287,273.0,74.0,0.271,8.0,143.0,620.0,541.0,83.0,72.0,3.0,19.0,14.0,.737,2.0,1.0,0.5,3.0,0.0,0.0,.---,18.0,9.0,85.0
NO4,0.256,88.0,17.0,138.0,98.0,23.0,0.0,0.324,0.393,0.718,167.0,52.0,0.311,252.0,60.0,0.238,8.0,143.0,602.0,539.0,51.0,50.0,7.0,3.0,2.0,.667,1.0,1.0,1.0,5.0,0.0,0.0,.---,14.0,9.0,90.0
NO5,0.286,80.0,20.0,151.0,95.0,35.0,1.0,0.354,0.47,0.824,148.0,44.0,0.297,249.0,71.0,0.285,7.0,143.0,591.0,528.0,58.0,51.0,7.0,2.0,2.0,1.000,1.0,1.0,1.0,4.0,0.0,0.0,.---,17.0,11.0,96.0
NO6,0.246,43.0,12.0,124.0,82.0,30.0,0.0,0.314,0.377,0.691,114.0,29.0,0.254,227.0,55.0,0.242,6.0,143.0,555.0,504.0,50.0,45.0,5.0,4.0,4.0,1.000,1.0,1.0,1.0,0.0,0.0,0.0,.---,18.0,1.0,92.0
NO7,0.274,60.0,12.0,124.0,80.0,28.0,4.0,0.343,0.433,0.776,110.0,35.0,0.318,201.0,45.0,0.224,2.0,143.0,505.0,453.0,41.0,45.0,4.0,3.0,3.0,1.000,2.0,1.0,0.5,2.0,0.0,0.0,.---,14.0,6.0,97.0
NO8,0.209,29.0,3.0,85.0,69.0,12.0,1.0,0.289,0.266,0.555,100.0,20.0,0.2,164.0,30.0,0.183,2.0,143.0,473.0,406.0,29.0,45.0,2.0,2.0,2.0,1.000,20.0,16.0,0.8,4.0,0.0,0.0,.---,12.0,6.0,70.0
NO9,0.107,12.0,1.0,29.0,26.0,2.0,0.0,0.136,0.126,0.262,78.0,10.0,0.128,106.0,10.0,0.094,0.0,143.0,311.0,270.0,11.0,8.0,1.0,0.0,0.0,.---,43.0,32.0,0.744,0.0,0.0,0.0,.---,4.0,5.0,126.0
