INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.291,53.0,15.0,168.0,122.0,28.0,3.0,0.382,0.428,0.81,96.0,27.0,0.281,290.0,79.0,0.272,5.0,143.0,668.0,577.0,103.0,84.0,1.0,22.0,19.0,.864,5.0,5.0,1.000,1.0,0.0,0.0,.---,8.0,13.0,94.0
NO2,0.326,64.0,11.0,172.0,127.0,31.0,3.0,0.414,0.459,0.873,107.0,40.0,0.374,280.0,89.0,0.318,5.0,143.0,620.0,527.0,98.0,63.0,16.0,14.0,8.0,.571,17.0,14.0,.824,0.0,0.0,0.0,.---,11.0,6.0,72.0
NO3,0.319,100.0,27.0,173.0,111.0,31.0,4.0,0.422,0.541,0.963,149.0,46.0,0.309,269.0,81.0,0.301,13.0,143.0,644.0,542.0,106.0,90.0,9.0,20.0,16.0,.800,0.0,0.0,.---,3.0,0.0,0.0,.---,15.0,10.0,106.0
NO4,0.269,122.0,33.0,141.0,86.0,22.0,0.0,0.364,0.499,0.863,162.0,50.0,0.309,237.0,78.0,0.329,18.0,143.0,612.0,525.0,65.0,78.0,4.0,3.0,2.0,.667,0.0,0.0,.---,5.0,0.0,0.0,.---,16.0,4.0,109.0
NO5,0.289,74.0,15.0,156.0,117.0,23.0,1.0,0.354,0.419,0.773,174.0,54.0,0.31,224.0,62.0,0.277,7.0,143.0,595.0,539.0,51.0,53.0,1.0,6.0,5.0,.833,1.0,1.0,1.000,1.0,0.0,0.0,.---,18.0,5.0,85.0
NO6,0.264,64.0,11.0,134.0,96.0,26.0,1.0,0.344,0.385,0.728,136.0,34.0,0.25,209.0,60.0,0.287,3.0,143.0,583.0,507.0,49.0,59.0,5.0,8.0,4.0,.500,12.0,7.0,.583,5.0,0.0,0.0,.---,15.0,12.0,82.0
NO7,0.249,48.0,8.0,122.0,90.0,24.0,0.0,0.309,0.347,0.656,120.0,29.0,0.242,190.0,41.0,0.216,1.0,143.0,551.0,490.0,48.0,42.0,2.0,7.0,3.0,.429,16.0,14.0,.875,3.0,0.0,0.0,.---,11.0,13.0,108.0
NO8,0.195,31.0,5.0,83.0,65.0,12.0,1.0,0.264,0.263,0.527,113.0,20.0,0.177,158.0,32.0,0.203,2.0,143.0,493.0,426.0,36.0,36.0,5.0,2.0,2.0,1.000,25.0,24.0,.960,2.0,0.0,0.0,.---,10.0,7.0,62.0
NO9,0.138,16.0,2.0,35.0,26.0,5.0,2.0,0.17,0.198,0.368,60.0,11.0,0.183,108.0,16.0,0.148,2.0,143.0,288.0,253.0,23.0,8.0,2.0,0.0,0.0,.---,33.0,24.0,.727,1.0,0.0,0.0,.---,1.0,8.0,105.0
