INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.292,56.0,16.0,170.0,117.0,35.0,2.0,0.372,0.441,0.813,109.0,34.0,0.312,299.0,88.0,0.294,6.0,144.0,662.0,583.0,87.0,73.0,2.0,23.0,17.0,0.739,3.0,3.0,1.0,1.0,0.0,0.0,.---,5.0,6.0,100.0
NO2,0.244,23.0,1.0,125.0,109.0,12.0,3.0,0.286,0.285,0.572,108.0,25.0,0.231,262.0,59.0,0.225,0.0,144.0,600.0,512.0,58.0,29.0,3.0,30.0,25.0,0.833,56.0,52.0,0.929,4.0,0.0,0.0,.---,9.0,6.0,104.0
NO3,0.311,67.0,12.0,172.0,130.0,28.0,2.0,0.366,0.434,0.8,157.0,45.0,0.287,284.0,92.0,0.324,7.0,144.0,620.0,553.0,83.0,45.0,6.0,22.0,19.0,0.864,13.0,11.0,0.846,5.0,0.0,0.0,.---,5.0,11.0,96.0
NO4,0.32,92.0,24.0,166.0,119.0,23.0,0.0,0.394,0.504,0.897,155.0,44.0,0.284,275.0,86.0,0.313,12.0,144.0,599.0,518.0,69.0,57.0,12.0,2.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,.---,12.0,9.0,74.0
NO5,0.262,73.0,15.0,131.0,88.0,27.0,1.0,0.347,0.41,0.757,143.0,40.0,0.28,237.0,57.0,0.241,7.0,144.0,577.0,500.0,55.0,60.0,8.0,1.0,0.0,0.0,5.0,4.0,0.8,5.0,0.0,0.0,.---,19.0,12.0,74.0
NO6,0.235,50.0,8.0,107.0,83.0,15.0,1.0,0.333,0.325,0.658,113.0,31.0,0.274,215.0,48.0,0.223,4.0,144.0,529.0,455.0,32.0,55.0,13.0,11.0,5.0,0.455,3.0,3.0,1.0,3.0,0.0,0.0,.---,14.0,4.0,84.0
NO7,0.244,46.0,8.0,120.0,88.0,22.0,2.0,0.291,0.346,0.637,130.0,33.0,0.254,211.0,53.0,0.251,2.0,144.0,531.0,491.0,39.0,32.0,1.0,5.0,2.0,0.4,6.0,5.0,0.833,2.0,0.0,0.0,.---,17.0,4.0,104.0
NO8,0.217,25.0,6.0,89.0,62.0,18.0,3.0,0.298,0.32,0.617,85.0,12.0,0.141,164.0,28.0,0.171,1.0,144.0,471.0,410.0,34.0,43.0,5.0,9.0,7.0,0.778,14.0,11.0,0.786,2.0,0.0,0.0,.---,7.0,9.0,91.0
NO9,0.113,17.0,1.0,33.0,27.0,5.0,0.0,0.15,0.14,0.291,83.0,8.0,0.096,127.0,15.0,0.118,0.0,144.0,332.0,292.0,16.0,13.0,0.0,3.0,3.0,1.0,37.0,26.0,0.703,1.0,0.0,0.0,.---,6.0,8.0,136.0
