INDEX,AVE,RBI,HR,H,SIN,DOU,TRI,OBP,SLG,OPS,AB_SP,H_SP,AVE_SP,AB_UC,H_UC,AVE_UC,HR_UC,G,PA,AB,R,BB,HBP,P_SB,SB,SR_SB,P_SH,SH,SR_SH,SF,PH,H_PH,AVE_PH,DP,EOB,K
NO1,0.28,28.0,5.0,161.0,133.0,20.0,3.0,0.356,0.351,0.707,101.0,29.0,0.287,297.0,89.0,0.3,2.0,144.0,655.0,575.0,69.0,60.0,8.0,28.0,15.0,0.536,13.0,11.0,.846,1.0,0.0,0.0,.---,4.0,12.0,86.0
NO2,0.226,38.0,5.0,114.0,86.0,22.0,1.0,0.278,0.303,0.581,102.0,23.0,0.225,262.0,58.0,0.221,4.0,144.0,593.0,505.0,46.0,33.0,4.0,10.0,7.0,0.7,54.0,49.0,.907,2.0,0.0,0.0,.---,7.0,14.0,86.0
NO3,0.314,63.0,9.0,169.0,136.0,20.0,4.0,0.401,0.416,0.817,152.0,43.0,0.283,282.0,80.0,0.284,2.0,144.0,625.0,538.0,70.0,72.0,8.0,30.0,24.0,0.8,4.0,4.0,1.000,3.0,0.0,0.0,.---,9.0,9.0,79.0
NO4,0.239,77.0,24.0,131.0,81.0,25.0,1.0,0.307,0.42,0.727,172.0,34.0,0.198,274.0,66.0,0.241,11.0,144.0,606.0,547.0,79.0,50.0,5.0,9.0,5.0,0.556,0.0,0.0,.---,4.0,0.0,0.0,.---,8.0,3.0,101.0
NO5,0.277,64.0,13.0,146.0,109.0,21.0,3.0,0.325,0.402,0.726,147.0,38.0,0.259,250.0,66.0,0.264,5.0,144.0,580.0,528.0,50.0,34.0,5.0,2.0,1.0,0.5,10.0,10.0,1.000,3.0,0.0,0.0,.---,4.0,3.0,96.0
NO6,0.271,61.0,8.0,140.0,102.0,26.0,4.0,0.312,0.384,0.696,122.0,40.0,0.328,219.0,48.0,0.219,2.0,144.0,573.0,516.0,56.0,29.0,4.0,17.0,12.0,0.706,21.0,19.0,.905,5.0,0.0,0.0,.---,9.0,1.0,104.0
NO7,0.246,57.0,14.0,117.0,80.0,21.0,2.0,0.296,0.387,0.682,119.0,32.0,0.269,212.0,54.0,0.255,7.0,144.0,521.0,476.0,44.0,31.0,4.0,5.0,5.0,1.0,8.0,7.0,.875,3.0,0.0,0.0,.---,4.0,1.0,125.0
NO8,0.235,33.0,2.0,97.0,78.0,16.0,1.0,0.281,0.294,0.575,105.0,24.0,0.229,175.0,37.0,0.211,1.0,144.0,467.0,412.0,28.0,25.0,2.0,9.0,3.0,0.333,29.0,26.0,.897,2.0,0.0,0.0,.---,10.0,8.0,74.0
NO9,0.195,20.0,1.0,71.0,57.0,13.0,0.0,0.233,0.239,0.472,84.0,19.0,0.226,149.0,38.0,0.255,0.0,144.0,406.0,364.0,28.0,17.0,1.0,7.0,4.0,0.571,31.0,24.0,.774,0.0,0.0,0.0,.---,7.0,12.0,72.0
